time,workload,config_id
2.61,ambivert,0
0.19,artificl,0
2.48,deepfield,0
7.36,enwik8,0
4.0,fannie_mae_500k,0
1.19,large,0
0.27,misc,0
11.88,silesia,0
2.13,vmlinux,0
3.27,ambivert,1
0.32,artificl,1
3.58,deepfield,1
3.89,enwik8,1
1.85,fannie_mae_500k,1
0.76,large,1
0.41,misc,1
7.39,silesia,1
1.45,vmlinux,1
8.02,ambivert,2
0.16,artificl,2
8.23,deepfield,2
7.05,enwik8,2
2.69,fannie_mae_500k,2
0.96,large,2
0.27,misc,2
13.64,silesia,2
2.25,vmlinux,2
28.93,ambivert,3
0.32,artificl,3
30.62,deepfield,3
26.64,enwik8,3
7.68,fannie_mae_500k,3
2.4,large,3
0.54,misc,3
50.71,silesia,3
7.26,vmlinux,3
3.76,ambivert,4
0.36,artificl,4
3.74,deepfield,4
6.61,enwik8,4
5.84,fannie_mae_500k,4
1.54,large,4
0.44,misc,4
12.93,silesia,4
2.71,vmlinux,4
47.13,ambivert,5
0.5,artificl,5
45.94,deepfield,5
65.73,enwik8,5
30.87,fannie_mae_500k,5
5.89,large,5
0.95,misc,5
109.76,silesia,5
15.66,vmlinux,5
5.21,ambivert,6
0.3,artificl,6
5.16,deepfield,6
9.21,enwik8,6
7.28,fannie_mae_500k,6
1.28,large,6
0.4,misc,6
18.35,silesia,6
2.31,vmlinux,6
14.27,ambivert,7
0.23,artificl,7
14.27,deepfield,7
11.07,enwik8,7
3.95,fannie_mae_500k,7
1.56,large,7
0.56,misc,7
22.6,silesia,7
5.33,vmlinux,7
5.46,ambivert,8
0.21,artificl,8
5.5,deepfield,8
10.83,enwik8,8
7.32,fannie_mae_500k,8
1.41,large,8
0.43,misc,8
20.77,silesia,8
3.82,vmlinux,8
4.95,ambivert,10
0.28,artificl,10
5.07,deepfield,10
7.29,enwik8,10
5.92,fannie_mae_500k,10
1.34,large,10
0.37,misc,10
15.24,silesia,10
3.02,vmlinux,10
6.71,ambivert,12
0.28,artificl,12
6.01,deepfield,12
11.37,enwik8,12
9.04,fannie_mae_500k,12
2.17,large,12
0.65,misc,12
20.9,silesia,12
4.42,vmlinux,12
58.41,ambivert,13
0.6,artificl,13
56.55,deepfield,13
126.45,enwik8,13
100.63,fannie_mae_500k,13
14.11,large,13
1.56,misc,13
253.99,silesia,13
39.01,vmlinux,13
8.07,ambivert,14
0.23,artificl,14
8.82,deepfield,14
7.03,enwik8,14
4.89,fannie_mae_500k,14
0.89,large,14
0.29,misc,14
16.8,silesia,14
2.58,vmlinux,14
19.0,ambivert,15
0.3,artificl,15
18.28,deepfield,15
37.64,enwik8,15
27.66,fannie_mae_500k,15
4.48,large,15
0.64,misc,15
74.05,silesia,15
958.72,vmlinux,15
4.9,ambivert,16
0.21,artificl,16
4.73,deepfield,16
9.48,enwik8,16
6.7,fannie_mae_500k,16
1.37,large,16
0.43,misc,16
18.51,silesia,16
3.5,vmlinux,16
7.94,ambivert,17
0.14,artificl,17
8.66,deepfield,17
6.75,enwik8,17
4.57,fannie_mae_500k,17
0.8,large,17
0.2,misc,17
16.57,silesia,17
2.25,vmlinux,17
126.16,ambivert,18
1.07,artificl,18
119.52,deepfield,18
254.71,enwik8,18
211.42,fannie_mae_500k,18
28.8,large,18
2.88,misc,18
551.68,silesia,18
91.81,vmlinux,18
1.38,ambivert,19
0.13,artificl,19
1.54,deepfield,19
1.27,enwik8,19
0.96,fannie_mae_500k,19
0.34,large,19
0.15,misc,19
2.67,silesia,19
0.94,vmlinux,19
0.61,ambivert,20
0.13,artificl,20
0.56,deepfield,20
0.65,enwik8,20
0.7,fannie_mae_500k,20
0.32,large,20
0.13,misc,20
1.18,silesia,20
0.52,vmlinux,20
34.32,ambivert,21
0.37,artificl,21
30.59,deepfield,21
31.85,enwik8,21
11.24,fannie_mae_500k,21
3.35,large,21
0.7,misc,21
58.74,silesia,21
7.71,vmlinux,21
1.81,ambivert,22
0.19,artificl,22
1.61,deepfield,22
3.04,enwik8,22
2.57,fannie_mae_500k,22
1.4,large,22
0.33,misc,22
5.06,silesia,22
1029.15,vmlinux,22
5.49,ambivert,23
0.22,artificl,23
5.51,deepfield,23
10.74,enwik8,23
7.28,fannie_mae_500k,23
1.36,large,23
0.43,misc,23
19.92,silesia,23
3.36,vmlinux,23
89.12,ambivert,24
0.92,artificl,24
89.23,deepfield,24
191.57,enwik8,24
157.8,fannie_mae_500k,24
21.83,large,24
2.35,misc,24
393.54,silesia,24
69.19,vmlinux,24
0.83,ambivert,25
0.28,artificl,25
0.83,deepfield,25
2.16,enwik8,25
1.06,fannie_mae_500k,25
0.6,large,25
0.29,misc,25
2.19,silesia,25
0.58,vmlinux,25
18.97,ambivert,26
0.24,artificl,26
19.42,deepfield,26
36.51,enwik8,26
27.4,fannie_mae_500k,26
3.77,large,26
0.44,misc,26
73.83,silesia,26
13.08,vmlinux,26
101.95,ambivert,27
0.91,artificl,27
95.61,deepfield,27
193.74,enwik8,27
147.08,fannie_mae_500k,27
21.58,large,27
2.37,misc,27
402.72,silesia,27
66.33,vmlinux,27
42.55,ambivert,29
0.53,artificl,29
0.43,deepfield,29
39.08,enwik8,29
16.45,fannie_mae_500k,29
4.36,large,29
1.07,misc,29
80.27,silesia,29
12.92,vmlinux,29
6.21,ambivert,30
0.28,artificl,30
0.29,deepfield,30
8.23,enwik8,30
3.39,fannie_mae_500k,30
1.59,large,30
0.71,misc,30
15.98,silesia,30
4.11,vmlinux,30
25.24,ambivert,31
0.43,artificl,31
0.35,deepfield,31
32.38,enwik8,31
16.09,fannie_mae_500k,31
3.92,large,31
1.01,misc,31
57.12,silesia,31
9.0,vmlinux,31
60.6,ambivert,32
0.55,artificl,32
0.43,deepfield,32
60.86,enwik8,32
22.93,fannie_mae_500k,32
6.44,large,32
1.27,misc,32
119.34,silesia,32
17.51,vmlinux,32
47.85,ambivert,33
0.57,artificl,33
0.42,deepfield,33
42.61,enwik8,33
17.98,fannie_mae_500k,33
4.86,large,33
1.17,misc,33
85.42,silesia,33
13.26,vmlinux,33
6.4,ambivert,34
0.34,artificl,34
0.36,deepfield,34
9.08,enwik8,34
4.7,fannie_mae_500k,34
2.72,large,34
0.88,misc,34
30.43,silesia,34
4.42,vmlinux,34
37.38,ambivert,35
0.52,artificl,35
0.43,deepfield,35
35.19,enwik8,35
16.42,fannie_mae_500k,35
4.39,large,35
1.05,misc,35
67.97,silesia,35
11.29,vmlinux,35
34.14,ambivert,36
0.49,artificl,36
0.43,deepfield,36
31.62,enwik8,36
14.94,fannie_mae_500k,36
3.92,large,36
0.95,misc,36
62.16,silesia,36
10.19,vmlinux,36
64.63,ambivert,37
0.6,artificl,37
0.42,deepfield,37
56.57,enwik8,37
21.13,fannie_mae_500k,37
6.29,large,37
1.27,misc,37
120.19,silesia,37
18.83,vmlinux,37
72.46,ambivert,38
1.12,artificl,38
72.24,deepfield,38
157.95,enwik8,38
133.12,fannie_mae_500k,38
18.25,large,38
2.15,misc,38
326.55,silesia,38
47.71,vmlinux,38
38.43,ambivert,39
0.94,artificl,39
38.82,deepfield,39
84.96,enwik8,39
69.42,fannie_mae_500k,39
10.06,large,39
1.29,misc,39
170.94,silesia,39
25.86,vmlinux,39
4.87,ambivert,40
0.27,artificl,40
0.37,deepfield,40
6.08,enwik8,40
3.67,fannie_mae_500k,40
2.15,large,40
0.63,misc,40
11.27,silesia,40
915.62,vmlinux,40
7.58,ambivert,41
0.35,artificl,41
0.29,deepfield,41
12.72,enwik8,41
5.32,fannie_mae_500k,41
2.76,large,41
0.89,misc,41
22.34,silesia,41
844.0,vmlinux,41
5.43,ambivert,42
0.3,artificl,42
0.29,deepfield,42
8.84,enwik8,42
4.41,fannie_mae_500k,42
2.53,large,42
0.8,misc,42
14.98,silesia,42
4.0,vmlinux,42
24.89,ambivert,43
0.45,artificl,43
0.35,deepfield,43
27.35,enwik8,43
14.24,fannie_mae_500k,43
3.53,large,43
0.9,misc,43
51.79,silesia,43
8.31,vmlinux,43
193.49,ambivert,44
1.87,artificl,44
196.09,deepfield,44
414.73,enwik8,44
330.92,fannie_mae_500k,44
46.26,large,44
4.59,misc,44
823.57,silesia,44
130.06,vmlinux,44
10.74,ambivert,45
0.41,artificl,45
0.27,deepfield,45
19.8,enwik8,45
7.11,fannie_mae_500k,45
3.45,large,45
1.21,misc,45
43.0,silesia,45
7.79,vmlinux,45
7.71,ambivert,46
0.3,artificl,46
0.28,deepfield,46
11.65,enwik8,46
4.74,fannie_mae_500k,46
2.08,large,46
0.78,misc,46
21.96,silesia,46
5.1,vmlinux,46
60.5,ambivert,47
0.61,artificl,47
0.42,deepfield,47
51.59,enwik8,47
20.77,fannie_mae_500k,47
6.24,large,47
1.47,misc,47
105.12,silesia,47
18.49,vmlinux,47
39.37,ambivert,48
0.51,artificl,48
0.43,deepfield,48
37.54,enwik8,48
16.28,fannie_mae_500k,48
4.41,large,48
1.17,misc,48
73.77,silesia,48
11.31,vmlinux,48
24.54,ambivert,49
0.88,artificl,49
25.27,deepfield,49
51.13,enwik8,49
41.19,fannie_mae_500k,49
6.36,large,49
1.34,misc,49
104.88,silesia,49
19.24,vmlinux,49
4.13,ambivert,50
0.28,artificl,50
0.28,deepfield,50
7.02,enwik8,50
3.74,fannie_mae_500k,50
2.18,large,50
0.6,misc,50
11.98,silesia,50
3.49,vmlinux,50
22.94,ambivert,51
0.32,artificl,51
0.36,deepfield,51
20.38,enwik8,51
7.54,fannie_mae_500k,51
2.05,large,51
0.65,misc,51
36.7,silesia,51
5.89,vmlinux,51
94.44,ambivert,52
1.09,artificl,52
95.29,deepfield,52
206.15,enwik8,52
165.54,fannie_mae_500k,52
23.43,large,52
2.47,misc,52
403.82,silesia,52
61.45,vmlinux,52
59.17,ambivert,53
1.1,artificl,53
57.2,deepfield,53
119.29,enwik8,53
95.63,fannie_mae_500k,53
13.95,large,53
1.76,misc,53
245.24,silesia,53
33.72,vmlinux,53
66.55,ambivert,54
0.93,artificl,54
70.46,deepfield,54
144.61,enwik8,54
110.73,fannie_mae_500k,54
16.31,large,54
1.99,misc,54
276.37,silesia,54
41.45,vmlinux,54
18.25,ambivert,55
0.44,artificl,55
0.43,deepfield,55
22.19,enwik8,55
12.38,fannie_mae_500k,55
2.96,large,55
0.78,misc,55
40.98,silesia,55
6.41,vmlinux,55
8.12,ambivert,56
0.3,artificl,56
0.24,deepfield,56
23.78,enwik8,56
9.27,fannie_mae_500k,56
3.0,large,56
0.63,misc,56
40.31,silesia,56
970.65,vmlinux,56
33.55,ambivert,57
0.51,artificl,57
0.43,deepfield,57
37.98,enwik8,57
17.38,fannie_mae_500k,57
4.53,large,57
1.04,misc,57
68.39,silesia,57
10.88,vmlinux,57
3.01,ambivert,58
0.3,artificl,58
3.34,deepfield,58
3.75,enwik8,58
1.79,fannie_mae_500k,58
0.75,large,58
0.38,misc,58
7.02,silesia,58
1.41,vmlinux,58
0.82,ambivert,59
0.26,artificl,59
0.82,deepfield,59
0.99,enwik8,59
0.88,fannie_mae_500k,59
0.43,large,59
0.28,misc,59
1.91,silesia,59
0.59,vmlinux,59
1.37,ambivert,60
0.14,artificl,60
1.49,deepfield,60
1.33,enwik8,60
1.06,fannie_mae_500k,60
0.39,large,60
0.15,misc,60
2.81,silesia,60
0.83,vmlinux,60
