rule,sg_samples,sg_coverage,rule_num_predicates,rule_features_used
NOT HAVE_CRYPTO AND PAGESIZE <= 24.0 AND PAGESIZE <= 12.0,768,0.3,3,"['PAGESIZE', 'HAVE_CRYPTO']"
NOT HAVE_CRYPTO AND PAGESIZE <= 24.0 AND PAGESIZE <= 12.0 AND PAGESIZE <= 6.0,512,0.2,4,"['PAGESIZE', 'HAVE_CRYPTO']"
HAVE_CRYPTO AND PAGESIZE > 24.0 AND HAVE_HASH,128,0.05,3,"['PAGESIZE', 'HAVE_CRYPTO', 'HAVE_HASH']"
NOT HAVE_CRYPTO AND PAGESIZE <= 24.0,1024,0.4,2,"['PAGESIZE', 'HAVE_CRYPTO']"
NOT HAVE_CRYPTO AND PAGESIZE <= 24.0 AND PAGESIZE > 12.0 AND NOT HAVE_HASH.1,128,0.05,4,"['PAGESIZE', 'HAVE_CRYPTO', 'HAVE_HASH']"
