n_samples,n_features,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
100000,25,45610.00506422197,12219,X_20==0 AND X_8==1 AND X_0==16 AND X_19==0,X_0==16 AND X_19==0 AND X_20==0 AND X_8==1,0,1.0,1.0,1.0,20,6.580329656600952
300000,25,36413.93304040359,36681,X_20==0 AND X_4==2 AND X_14==1 AND X_19==0,X_14==1 AND X_19==0 AND X_20==0 AND X_4==2,0,1.0,1.0,1.0,20,18.39208173751831
1000000,25,27787.732415362963,155954,X_24==1 AND X_15==0 AND X_12==0 AND X_17==0,X_12==0 AND X_15==0 AND X_17==0 AND X_24==1,0,1.0,1.0,1.0,20,62.17809295654297
1000,25,32026.41339177025,157,X_7==0 AND X_16==1 AND X_18==0 AND X_17==1,X_16==1 AND X_17==1 AND X_18==0 AND X_7==0,0,1.0,1.0,1.0,21,1.191580295562744
3000,25,29431.31554848297,494,X_22==0 AND X_8==0 AND X_23==1 AND X_15==1,X_15==1 AND X_22==0 AND X_23==1 AND X_8==0,0,1.0,1.0,1.0,21,1.3053102493286133
10000,25,27448.329589180343,1215,X_6==1 AND X_21==1 AND X_22==0 AND X_0==16,X_0==16 AND X_21==1 AND X_22==0 AND X_6==1,0,1.0,1.0,1.0,21,1.878300189971924
30000,25,48019.96022696526,3100,X_16==0 AND X_0==4 AND X_3==16 AND X_1==4,X_16==0,1,0.3163426705444155,0.187890175162131,1.0,21,1.0542891025543213
100000,25,40071.235373809504,12247,X_14==0 AND X_13==0 AND X_1==4 AND X_7==0,X_13==0 AND X_14==0 AND X_1==4 AND X_7==0,0,1.0,1.0,1.0,21,5.20254921913147
300000,25,29386.86379232345,36657,X_11==1 AND X_14==1 AND X_2==4 AND X_9==1,X_11==1 AND X_14==1 AND X_2==4 AND X_9==1,0,1.0,1.0,1.0,21,20.798982620239254
1000000,25,43708.28431243617,122274,X_22==1 AND X_0==2 AND X_15==0 AND X_24==1,X_0==2 AND X_15==0 AND X_22==1 AND X_24==1,0,1.0,1.0,1.0,21,73.6644070148468
1000,25,29846.301947973127,161,X_15==0 AND X_19==0 AND X_17==0 AND X_7==1,X_15==0 AND X_17==0 AND X_19==0 AND X_7==1,0,1.0,1.0,1.0,22,1.3148462772369385
3000,25,30446.51152947961,335,X_3==8 AND X_13==1 AND X_9==0 AND X_4==1,X_13==1 AND X_3==8 AND X_4==1 AND X_9==0,0,1.0,1.0,1.0,22,1.3419992923736572
10000,25,38842.50080470772,1091,X_1==4 AND X_2==1 AND X_9==0 AND X_21==0,X_9==0,1,0.3322673975940307,0.1992330168005843,1.0,22,0.7611351013183594
30000,25,45832.80114508438,3657,X_22==1 AND X_8==0 AND X_4==4 AND X_13==0,X_13==0 AND X_22==1 AND X_4==4 AND X_8==0,0,1.0,1.0,1.0,22,2.8089656829833984
100000,25,32079.70868940496,12222,X_5==1 AND X_8==1 AND X_14==1 AND X_4==2,X_14==1 AND X_4==2 AND X_5==1 AND X_8==1,0,1.0,1.0,1.0,22,6.414917469024658
300000,25,48226.56713053605,32713,X_17==0 AND X_20==1 AND X_1==2 AND X_2==8,X_20==1,3,0.3316588009266534,0.1987955468047351,1.0,22,7.985999584197998
1000000,25,40444.19876069761,109165,X_4==8 AND X_20==1 AND X_10==0 AND X_2==2,X_10==0,1,0.3313045048490062,0.1985410195039975,1.0,22,27.160322666168213
1000,25,36629.048345169766,161,X_22==1 AND X_5==1 AND X_15==0 AND X_18==0,X_15==0 AND X_18==0 AND X_22==1 AND X_5==1,0,1.0,1.0,1.0,23,1.1618382930755615
3000,25,25291.42688366743,369,X_4==4 AND X_20==1 AND X_7==1 AND X_6==0,X_20==1 AND X_4==4 AND X_6==0 AND X_7==1,0,1.0,1.0,1.0,23,1.2133903503417969
10000,25,38967.35530230538,1229,X_11==1 AND X_20==0 AND X_22==0 AND X_4==2,X_11==1 AND X_20==0 AND X_22==0 AND X_4==2,0,1.0,1.0,1.0,23,1.75136137008667
30000,25,27762.838550002125,3647,X_4==2 AND X_11==0 AND X_10==1 AND X_9==1,X_10==1 AND X_11==0 AND X_4==2 AND X_9==1,0,1.0,1.0,1.0,23,2.716062068939209
100000,25,38519.11362185013,15712,X_12==0 AND X_22==0 AND X_18==0 AND X_10==0,X_10==0 AND X_12==0 AND X_18==0 AND X_22==0,0,1.0,1.0,1.0,23,5.522047519683838
300000,25,26656.14794630969,31088,X_4==16 AND X_3==1 AND X_19==1 AND X_1==2,X_19==1,0,0.3166880590020985,0.1881339110648495,1.0,23,8.011561393737793
1000000,25,31817.564678038398,122557,X_9==1 AND X_24==1 AND X_1==1 AND X_18==0,X_18==0 AND X_1==1 AND X_24==1 AND X_9==1,0,1.0,1.0,1.0,23,72.8423821926117
1000,25,27246.255989430243,108,X_3==8 AND X_4==1 AND X_14==1 AND X_23==1,X_14==1 AND X_23==1 AND X_3==8 AND X_4==1,0,1.0,1.0,1.0,24,1.091609239578247
