time,workload,config_id
1.59,cranium,27
4.99,cubus,27
1.38,flame,27
2.87,france,27
4.03,frisco,27
1.67,jelly,27
11.02,karte,27
1.27,mandelbrot,27
1.41,strawberry,27
5.02,village,27
1.47,corona,28
1.84,cranium,28
6.9,cubus,28
2.15,flame,28
3.23,france,28
4.87,frisco,28
1.59,jelly,28
12.62,karte,28
1.25,mandelbrot,28
1.55,strawberry,28
2.27,village,28
1.21,corona,29
1.72,cranium,29
6.17,cubus,29
1.98,flame,29
2.91,france,29
4.37,frisco,29
1.5,jelly,29
8.38,karte,29
1.18,mandelbrot,29
1.46,strawberry,29
2.5,village,29
1.3,corona,30
3.1,cranium,30
7.0,cubus,30
2.12,flame,30
5.49,france,30
6.14,frisco,30
2.07,jelly,30
9.45,karte,30
1.3,mandelbrot,30
2.04,strawberry,30
3.34,village,30
1.33,corona,31
3.14,cranium,31
7.35,cubus,31
2.22,flame,31
5.61,france,31
6.09,frisco,31
2.11,jelly,31
10.06,karte,31
1.32,mandelbrot,31
2.12,strawberry,31
3.48,village,31
1.21,corona,32
1.51,cranium,32
4.83,cubus,32
1.32,flame,32
2.82,france,32
3.69,frisco,32
1.29,jelly,32
11.33,karte,32
1.17,mandelbrot,32
1.26,strawberry,32
1.91,village,32
1.79,corona,33
1.94,cranium,33
7.8,cubus,33
2.21,flame,33
3.6,france,33
5.12,frisco,33
1.81,jelly,33
18.56,karte,33
1.36,mandelbrot,33
1.7,strawberry,33
2.44,village,33
1.92,corona,34
1.98,cranium,34
7.63,cubus,34
2.17,flame,34
3.55,france,34
5.12,frisco,34
1.75,jelly,34
18.25,karte,34
1.33,mandelbrot,34
1.67,strawberry,34
2.46,village,34
1.72,corona,35
2.02,cranium,35
6.99,cubus,35
2.25,flame,35
3.31,france,35
5.37,frisco,35
2.07,jelly,35
12.21,karte,35
1.38,mandelbrot,35
1.76,strawberry,35
5.19,village,35
1.33,corona,36
3.07,cranium,36
7.34,cubus,36
2.31,flame,36
5.66,france,36
6.39,frisco,36
2.09,jelly,36
10.15,karte,36
1.48,mandelbrot,36
2.12,strawberry,36
3.46,village,36
1.24,corona,37
2.86,cranium,37
5.7,cubus,37
1.7,flame,37
5.4,france,37
5.77,frisco,37
1.89,jelly,37
8.93,karte,37
1.43,mandelbrot,37
1.9,strawberry,37
3.06,village,37
1.13,corona,38
1.68,cranium,38
5.98,cubus,38
1.87,flame,38
2.76,france,38
4.34,frisco,38
1.45,jelly,38
8.14,karte,38
1.16,mandelbrot,38
1.46,strawberry,38
2.39,village,38
1.22,corona,39
3.01,cranium,39
5.63,cubus,39
1.58,flame,39
5.61,france,39
5.72,frisco,39
1.96,jelly,39
9.04,karte,39
1.23,mandelbrot,39
1.91,strawberry,39
3.23,village,39
1.2,corona,40
2.88,cranium,40
5.76,cubus,40
1.7,flame,40
5.44,france,40
5.81,frisco,40
1.93,jelly,40
9.07,karte,40
1.39,mandelbrot,40
1.93,strawberry,40
3.15,village,40
1.14,corona,41
1.61,cranium,41
5.77,cubus,41
1.87,flame,41
2.66,france,41
3.76,frisco,41
1.34,jelly,41
7.98,karte,41
1.14,mandelbrot,41
1.41,strawberry,41
1.95,village,41
1.33,corona,42
3.13,cranium,42
7.05,cubus,42
2.16,flame,42
5.46,france,42
6.25,frisco,42
2.08,jelly,42
9.72,karte,42
1.33,mandelbrot,42
2.15,strawberry,42
3.32,village,42
1.15,corona,43
1.66,cranium,43
6.11,cubus,43
1.97,flame,43
2.83,france,43
4.29,frisco,43
1.44,jelly,43
8.35,karte,43
1.15,mandelbrot,43
1.42,strawberry,43
2.08,village,43
1.72,corona,44
2.04,cranium,44
8.01,cubus,44
2.28,flame,44
3.74,france,44
5.1,frisco,44
1.78,jelly,44
19.33,karte,44
1.4,mandelbrot,44
1.72,strawberry,44
2.59,village,44
1.36,corona,45
3.12,cranium,45
7.38,cubus,45
2.28,flame,45
5.55,france,45
6.49,frisco,45
2.1,jelly,45
10.01,karte,45
1.46,mandelbrot,45
2.14,strawberry,45
3.36,village,45
1.21,corona,46
1.68,cranium,46
6.29,cubus,46
1.94,flame,46
2.77,france,46
4.54,frisco,46
1.47,jelly,46
8.15,karte,46
1.24,mandelbrot,46
1.5,strawberry,46
2.43,village,46
1.35,corona,47
3.15,cranium,47
7.43,cubus,47
2.34,flame,47
5.7,france,47
6.63,frisco,47
2.16,jelly,47
10.21,karte,47
1.46,mandelbrot,47
2.17,strawberry,47
3.47,village,47
1.2,corona,48
1.76,cranium,48
6.41,cubus,48
2.07,flame,48
2.85,france,48
4.69,frisco,48
1.54,jelly,48
8.47,karte,48
1.23,mandelbrot,48
1.54,strawberry,48
2.45,village,48
2.65,corona,49
1.94,cranium,49
6.23,cubus,49
1.7,flame,49
3.63,france,49
5.32,frisco,49
4.04,jelly,49
17.52,karte,49
1.55,mandelbrot,49
2.09,strawberry,49
15.49,village,49
1.69,corona,50
1.74,cranium,50
5.76,cubus,50
1.55,flame,50
3.26,france,50
4.13,frisco,50
1.6,jelly,50
17.35,karte,50
1.41,mandelbrot,50
1.42,strawberry,50
2.2,village,50
1.41,corona,51
3.18,cranium,51
7.55,cubus,51
2.39,flame,51
5.84,france,51
6.67,frisco,51
2.25,jelly,51
10.47,karte,51
1.52,mandelbrot,51
2.22,strawberry,51
3.54,village,51
1.17,corona,52
2.81,cranium,52
5.38,cubus,52
1.53,flame,52
5.32,france,52
5.44,frisco,52
1.85,jelly,52
8.54,karte,52
1.21,mandelbrot,52
1.86,strawberry,52
3.02,village,52
1.19,corona,53
1.72,cranium,53
6.22,cubus,53
2.04,flame,53
2.78,france,53
4.46,frisco,53
1.46,jelly,53
8.38,karte,53
1.15,mandelbrot,53
1.49,strawberry,53
2.13,village,53
1.69,corona,54
2.04,cranium,54
8.16,cubus,54
2.37,flame,54
3.8,france,54
5.34,frisco,54
1.82,jelly,54
19.74,karte,54
1.43,mandelbrot,54
1.75,strawberry,54
2.61,village,54
1.29,corona,55
3.06,cranium,55
6.96,cubus,55
2.16,flame,55
5.47,france,55
6.12,frisco,55
2.04,jelly,55
9.44,karte,55
1.34,mandelbrot,55
2.09,strawberry,55
3.29,village,55
1.36,corona,56
1.75,cranium,56
6.61,cubus,56
2.02,flame,56
3.12,france,56
4.59,frisco,56
1.54,jelly,56
12.1,karte,56
1.23,mandelbrot,56
1.53,strawberry,56
2.26,village,56
1.17,corona,57
2.84,cranium,57
5.39,cubus,57
1.47,flame,57
5.31,france,57
5.12,frisco,57
1.86,jelly,57
8.61,karte,57
1.2,mandelbrot,57
1.83,strawberry,57
3.09,village,57
1.39,corona,58
1.8,cranium,58
6.75,cubus,58
2.09,flame,58
3.21,france,58
4.76,frisco,58
1.57,jelly,58
12.52,karte,58
1.21,mandelbrot,58
1.57,strawberry,58
2.21,village,58
1.16,corona,59
1.71,cranium,59
6.37,cubus,59
2.02,flame,59
2.84,france,59
4.72,frisco,59
1.43,jelly,59
8.47,karte,59
1.2,mandelbrot,59
1.48,strawberry,59
2.13,village,59
1.25,corona,60
2.95,cranium,60
5.63,cubus,60
1.62,flame,60
5.5,france,60
5.59,frisco,60
1.91,jelly,60
8.95,karte,60
1.27,mandelbrot,60
1.89,strawberry,60
3.17,village,60
0.99,corona,61
1.45,cranium,61
4.4,cubus,61
1.27,flame,61
2.62,france,61
3.21,frisco,61
1.21,jelly,61
7.42,karte,61
1.11,mandelbrot,61
1.21,strawberry,61
1.73,village,61
1.27,corona,62
3.13,cranium,62
7.02,cubus,62
2.16,flame,62
5.66,france,62
6.26,frisco,62
2.07,jelly,62
9.74,karte,62
1.32,mandelbrot,62
2.12,strawberry,62
3.35,village,62
1.21,corona,63
2.91,cranium,63
5.79,cubus,63
1.68,flame,63
5.41,france,63
5.71,frisco,63
1.96,jelly,63
8.97,karte,63
1.37,mandelbrot,63
1.91,strawberry,63
3.17,village,63
1.18,corona,64
2.93,cranium,64
5.44,cubus,64
1.55,flame,64
5.4,france,64
5.56,frisco,64
1.89,jelly,64
8.75,karte,64
1.21,mandelbrot,64
1.9,strawberry,64
3.08,village,64
1.13,corona,65
1.68,cranium,65
6.29,cubus,65
2.05,flame,65
2.76,france,65
4.57,frisco,65
1.41,jelly,65
8.26,karte,65
1.18,mandelbrot,65
1.43,strawberry,65
2.13,village,65
1.35,corona,66
3.1,cranium,66
7.21,cubus,66
2.3,flame,66
5.5,france,66
6.17,frisco,66
2.07,jelly,66
9.95,karte,66
1.47,mandelbrot,66
2.11,strawberry,66
3.41,village,66
1.28,corona,67
3.05,cranium,67
6.97,cubus,67
2.07,flame,67
5.44,france,67
6.12,frisco,67
1.97,jelly,67
9.6,karte,67
1.32,mandelbrot,67
2.04,strawberry,67
3.29,village,67
1.31,corona,68
3.08,cranium,68
7.3,cubus,68
2.3,flame,68
5.52,france,68
6.4,frisco,68
2.06,jelly,68
9.96,karte,68
1.44,mandelbrot,68
2.12,strawberry,68
3.33,village,68
1.35,corona,69
3.13,cranium,69
7.53,cubus,69
2.29,flame,69
5.56,france,69
6.6,frisco,69
2.12,jelly,69
10.2,karte,69
1.48,mandelbrot,69
2.13,strawberry,69
3.44,village,69
1.21,corona,70
1.75,cranium,70
6.32,cubus,70
2.04,flame,70
2.96,france,70
4.57,frisco,70
1.45,jelly,70
8.32,karte,70
1.18,mandelbrot,70
1.53,strawberry,70
2.47,village,70
1.08,corona,71
1.47,cranium,71
4.42,cubus,71
1.23,flame,71
2.61,france,71
3.76,frisco,71
1.31,jelly,71
7.39,karte,71
1.1,mandelbrot,71
1.24,strawberry,71
2.14,village,71
1.18,corona,72
1.69,cranium,72
6.23,cubus,72
2.06,flame,72
2.86,france,72
4.44,frisco,72
1.46,jelly,72
8.25,karte,72
1.17,mandelbrot,72
1.47,strawberry,72
2.14,village,72
1.19,corona,73
1.8,cranium,73
6.52,cubus,73
2.07,flame,73
2.92,france,73
4.57,frisco,73
1.49,jelly,73
8.63,karte,73
1.18,mandelbrot,73
1.55,strawberry,73
2.21,village,73
0.97,corona,74
1.39,cranium,74
4.31,cubus,74
1.23,flame,74
2.48,france,74
3.53,frisco,74
1.2,jelly,74
7.25,karte,74
1.07,mandelbrot,74
1.2,strawberry,74
1.74,village,74
1.37,corona,75
3.25,cranium,75
7.66,cubus,75
2.32,flame,75
5.89,france,75
6.74,frisco,75
2.16,jelly,75
10.59,karte,75
1.57,mandelbrot,75
2.25,strawberry,75
3.5,village,75
1.31,corona,76
1.77,cranium,76
6.55,cubus,76
2.11,flame,76
2.99,france,76
4.31,frisco,76
1.48,jelly,76
8.83,karte,76
1.22,mandelbrot,76
1.53,strawberry,76
2.21,village,76
1.22,corona,77
2.95,cranium,77
5.77,cubus,77
1.67,flame,77
5.53,france,77
5.85,frisco,77
1.95,jelly,77
9.17,karte,77
1.39,mandelbrot,77
1.88,strawberry,77
3.27,village,77
1.21,corona,78
2.86,cranium,78
5.37,cubus,78
1.48,flame,78
5.33,france,78
5.44,frisco,78
1.87,jelly,78
8.66,karte,78
1.18,mandelbrot,78
1.85,strawberry,78
3.02,village,78
1.29,corona,79
3.1,cranium,79
7.07,cubus,79
2.23,flame,79
5.5,france,79
6.28,frisco,79
2.09,jelly,79
9.79,karte,79
1.28,mandelbrot,79
2.1,strawberry,79
3.31,village,79
1.16,corona,80
