rule,sg_samples,sg_coverage,rule_num_predicates,rule_features_used
compressionLzo >= 1.0  AND  encryption >= 1.0,36,0.08333333333333333,2,"['encryption', 'compressionLzo']"
compressionLzo >= 1.0,72,0.16666666666666666,1,['compressionLzo']
0.0 <= compression < 1.0  AND  0.0 <= encryption < 1.0,36,0.08333333333333333,2,"['encryption', 'compression']"
0.0 <= compression < 1.0,72,0.16666666666666666,1,['compression']
compressionZpaq >= 1.0  AND  level >= 6.5,24,0.05555555555555555,2,"['compressionZpaq', 'level']"
compressionZpaq >= 1.0  AND  level >= 3.5,48,0.1111111111111111,2,"['compressionZpaq', 'level']"
compressionZpaq >= 1.0,72,0.16666666666666666,1,['compressionZpaq']
0.0 <= compressionGzip < 1.0  AND  level < 3.0,80,0.18518518518518517,2,"['compressionGzip', 'level']"
compressionBzip2 >= 1.0  AND  level >= 6.5,24,0.05555555555555555,2,"['compressionBzip2', 'level']"
compressionGzip >= 1.0  AND  level < 5.0,32,0.07407407407407407,2,"['compressionGzip', 'level']"
compressionBzip2 >= 1.0,72,0.16666666666666666,1,['compressionBzip2']
0.0 <= compressionLrzip < 1.0  AND  level < 8.0,280,0.6481481481481481,2,"['compressionLrzip', 'level']"
3.5 <= level < 6.5,144,0.3333333333333333,1,['level']
0.0 <= compressionGzip < 1.0  AND  level >= 3.5,240,0.5555555555555556,2,"['compressionGzip', 'level']"
0.0 <= compressionBzip2 < 1.0,360,0.8333333333333334,1,['compressionBzip2']
