rule,sg_samples,sg_coverage,rule_num_predicates,rule_features_used
HAVE_HASH >= 1.0  AND  PAGESIZE >= 32.0,128,0.05,2,"['PAGESIZE', 'HAVE_HASH']"
PAGESIZE >= 32.0  AND  HAVE_CRYPTO >= 1.0,256,0.1,2,"['HAVE_CRYPTO', 'PAGESIZE']"
0.0 <= HAVE_CRYPTO < 1.0  AND  0.0 <= HAVE_HASH.1 < 1.0  AND  16.0 <= PAGESIZE < 32.0,128,0.05,3,"['HAVE_CRYPTO', 'PAGESIZE', 'HAVE_HASH']"
4.0 <= PAGESIZE < 8.0  AND  HAVE_HASH.1 >= 1.0,128,0.05,2,"['PAGESIZE', 'HAVE_HASH']"
8.0 <= PAGESIZE < 16.0  AND  0.0 <= HAVE_CRYPTO < 1.0  AND  0.0 <= HAVE_HASH.1 < 1.0,128,0.05,3,"['HAVE_CRYPTO', 'PAGESIZE', 'HAVE_HASH']"
PAGESIZE < 4.0  AND  HAVE_HASH.1 >= 1.0,128,0.05,2,"['PAGESIZE', 'HAVE_HASH']"
8.0 <= PAGESIZE < 16.0  AND  0.0 <= HAVE_CRYPTO < 1.0,256,0.1,2,"['HAVE_CRYPTO', 'PAGESIZE']"
4.0 <= PAGESIZE < 8.0  AND  0.0 <= HAVE_CRYPTO < 1.0,256,0.1,2,"['HAVE_CRYPTO', 'PAGESIZE']"
PAGESIZE >= 32.0  AND  0.0 <= HAVE_HASH.1 < 1.0,384,0.15,2,"['PAGESIZE', 'HAVE_HASH']"
0.0 <= HAVE_HASH < 1.0  AND  4.0 <= PAGESIZE < 8.0,384,0.15,2,"['PAGESIZE', 'HAVE_HASH']"
4.0 <= PAGESIZE < 8.0,512,0.2,1,['PAGESIZE']
0.0 <= HAVE_HASH < 1.0  AND  4.0 <= PAGESIZE < 16.0,768,0.3,2,"['PAGESIZE', 'HAVE_HASH']"
4.0 <= PAGESIZE < 16.0,1024,0.4,1,['PAGESIZE']
HAVE_HASH >= 1.0  AND  PAGESIZE >= 4.0,512,0.2,2,"['PAGESIZE', 'HAVE_HASH']"
4.0 <= PAGESIZE < 32.0  AND  0.0 <= HAVE_CRYPTO < 1.0,768,0.3,2,"['HAVE_CRYPTO', 'PAGESIZE']"
