time,workload,config_id
1.86,jpeg-large,21
1.23,jpeg-medium,21
0.38,jpeg-small,21
1.62,png-large,21
0.52,png-medium,21
0.4,png-small,21
16.37,psd-large,21
1.04,psd-medium,21
0.45,psd-small,21
1.46,svg-large,21
1.47,svg-medium,21
0.56,svg-small,21
2.48,jpeg-large,22
1.48,jpeg-medium,22
0.4,jpeg-small,22
2.03,png-large,22
0.58,png-medium,22
0.42,png-small,22
33.79,psd-large,22
1.15,psd-medium,22
0.49,psd-small,22
1.51,svg-large,22
1.56,svg-medium,22
0.59,svg-small,22
3.08,jpeg-large,23
1.65,jpeg-medium,23
0.42,jpeg-small,23
2.29,png-large,23
0.69,png-medium,23
0.44,png-small,23
31.84,psd-large,23
1.36,psd-medium,23
0.54,psd-small,23
1.54,svg-large,23
1.5,svg-medium,23
0.62,svg-small,23
2.16,jpeg-large,24
1.23,jpeg-medium,24
0.43,jpeg-small,24
1.8,png-large,24
0.53,png-medium,24
0.46,png-small,24
23.87,psd-large,24
1.09,psd-medium,24
0.53,psd-small,24
1.51,svg-large,24
1.52,svg-medium,24
0.51,svg-small,24
3.33,jpeg-large,25
1.83,jpeg-medium,25
0.44,jpeg-small,25
2.41,png-large,25
0.65,png-medium,25
0.46,png-small,25
54.94,psd-large,25
1.3,psd-medium,25
0.58,psd-small,25
1.49,svg-large,25
1.58,svg-medium,25
0.53,svg-small,25
3.34,jpeg-large,26
1.79,jpeg-medium,26
0.46,jpeg-small,26
2.47,png-large,26
0.65,png-medium,26
0.5,png-small,26
54.98,psd-large,26
1.28,psd-medium,26
0.59,psd-small,26
1.5,svg-large,26
1.59,svg-medium,26
0.5,svg-small,26
3.42,jpeg-large,27
1.92,jpeg-medium,27
0.49,jpeg-small,27
2.63,png-large,27
0.68,png-medium,27
0.5,png-small,27
58.53,psd-large,27
1.39,psd-medium,27
0.61,psd-small,27
1.52,svg-large,27
1.63,svg-medium,27
0.5,svg-small,27
4.89,jpeg-large,28
2.49,jpeg-medium,28
0.43,jpeg-small,28
3.19,png-large,28
0.73,png-medium,28
0.49,png-small,28
55.06,psd-large,28
1.6,psd-medium,28
0.59,psd-small,28
1.47,svg-large,28
1.53,svg-medium,28
0.62,svg-small,28
4.79,jpeg-large,29
2.48,jpeg-medium,29
0.45,jpeg-small,29
3.2,png-large,29
0.74,png-medium,29
0.46,png-small,29
55.32,psd-large,29
1.59,psd-medium,29
0.62,psd-small,29
1.49,svg-large,29
1.53,svg-medium,29
0.61,svg-small,29
3.25,jpeg-large,30
1.75,jpeg-medium,30
0.47,jpeg-small,30
2.35,png-large,30
0.64,png-medium,30
0.55,png-small,30
54.76,psd-large,30
1.27,psd-medium,30
0.62,psd-small,30
1.48,svg-large,30
1.53,svg-medium,30
0.52,svg-small,30
5.47,jpeg-large,31
2.67,jpeg-medium,31
0.43,jpeg-small,31
3.46,png-large,31
0.77,png-medium,31
0.47,png-small,31
54.69,psd-large,31
1.7,psd-medium,31
0.66,psd-small,31
1.57,svg-large,31
1.6,svg-medium,31
0.63,svg-small,31
2.79,jpeg-large,32
1.53,jpeg-medium,32
0.41,jpeg-small,32
2.04,png-large,32
0.63,png-medium,32
