n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,884.2514984607697
2,1.0,1.0,1.0,0.8848920863309353,1.0,0.7935483870967742,0.0,0.0,0.0,0,642.5095474720001
3,0.8400000000000001,1.0,0.7241379310344828,0.0,0.0,0.0,0.9714285714285714,1.0,0.9444444444444444,0,932.1384916305542
1,0.7674418604651162,1.0,0.6226415094339622,0.0,0.0,0.0,0.0,0.0,0.0,1,766.3029642105103
2,0.9411764705882352,1.0,0.8888888888888888,0.7684529828109201,1.0,0.6239737274220033,0.0,0.0,0.0,1,745.9535155296326
3,1.0,1.0,1.0,0.0,0.0,0.0,0.9090909090909092,1.0,0.8333333333333334,1,679.2423758506775
1,0.9090909090909092,1.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,10,974.141627073288
2,0.9090909090909092,1.0,0.8333333333333334,0.923076923076923,1.0,0.8571428571428571,0.0,0.0,0.0,10,858.3429358005524
3,0.9090909090909092,1.0,0.8333333333333334,0.923076923076923,1.0,0.8571428571428571,0.9210526315789476,1.0,0.8536585365853658,10,879.1891574859619
1,0.7473258854290468,1.0,0.596584440227704,0.0,0.0,0.0,0.0,0.0,0.0,11,761.7686893939972
2,0.0,0.0,0.0,0.8848920863309353,1.0,0.7935483870967742,0.0,0.0,0.0,11,811.0323050022125
3,0.9090909090909092,1.0,0.8333333333333334,0.0,0.0,0.0,0.7529411764705882,1.0,0.6037735849056604,11,877.3503196239471
1,0.9210526315789476,1.0,0.8536585365853658,0.0,0.0,0.0,0.0,0.0,0.0,12,604.3026306629181
2,0.6611213801601972,1.0,0.4937873907040957,0.802314368370299,1.0,0.6698872785829307,0.0,0.0,0.0,12,670.7106897830963
3,0.6611213801601972,1.0,0.4937873907040957,0.802314368370299,1.0,0.6698872785829307,0.8425720620842573,1.0,0.7279693486590039,12,920.0365138053894
1,0.6283185840707964,1.0,0.4580645161290322,0.0,0.0,0.0,0.0,0.0,0.0,13,796.1964392662048
2,0.5377358490566038,1.0,0.3677419354838709,1.0,1.0,1.0,0.0,0.0,0.0,13,668.4648661613464
3,0.4046242774566474,1.0,0.2536231884057971,0.4449877750611247,1.0,0.2861635220125786,0.9473684210526316,1.0,0.9,13,768.432888507843
1,0.9210526315789476,1.0,0.8536585365853658,0.0,0.0,0.0,0.0,0.0,0.0,14,835.9912297725677
2,0.9210526315789476,1.0,0.8536585365853658,0.802314368370299,1.0,0.6698872785829307,0.0,0.0,0.0,14,797.3618521690369
3,0.7600570613409415,1.0,0.6129774505292223,0.802314368370299,1.0,0.6698872785829307,0.8425720620842573,1.0,0.7279693486590039,14,709.3325362205505
1,0.923076923076923,1.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,15,672.4646804332733
2,0.923076923076923,1.0,0.8571428571428571,0.9473684210526316,1.0,0.9,0.0,0.0,0.0,15,660.965681552887
3,0.923076923076923,1.0,0.8571428571428571,0.0,0.0,0.0,0.9411764705882352,1.0,0.8888888888888888,15,721.8345608711243
1,0.6477953184540012,1.0,0.4790660225442834,0.0,0.0,0.0,0.0,0.0,0.0,16,1148.6325345039368
2,0.6477953184540012,1.0,0.4790660225442834,0.6229508196721312,1.0,0.4523809523809524,0.0,0.0,0.0,16,1133.9495315551758
3,0.6477953184540012,1.0,0.4790660225442834,0.0,0.0,0.0,0.7589158345221112,1.0,0.6114942528735632,16,838.431492805481
1,0.7605832549388523,1.0,0.613662239089184,0.0,0.0,0.0,0.0,0.0,0.0,17,817.947060585022
2,0.6923076923076924,1.0,0.5294117647058824,1.0,1.0,1.0,0.0,0.0,0.0,17,808.2053475379944
3,0.8425720620842573,1.0,0.7279693486590039,0.0,0.0,0.0,0.9090909090909092,1.0,0.8333333333333334,17,884.4422464370728
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,916.5806114673616
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,18,890.5297074317932
3,0.8425720620842573,1.0,0.7279693486590039,0.514018691588785,1.0,0.3459119496855345,0.802314368370299,1.0,0.6698872785829307,18,678.4820067882538
1,0.5902383654937571,1.0,0.4186795491143317,0.0,0.0,0.0,0.0,0.0,0.0,19,773.1311318874359
2,0.5902383654937571,1.0,0.4186795491143317,0.7074637424831978,1.0,0.5473453749315819,0.0,0.0,0.0,19,846.3987488746643
3,0.5902383654937571,1.0,0.4186795491143317,0.0,0.0,0.0,0.8265682656826568,1.0,0.7044025157232704,19,760.3047699928284
1,0.8329979879275654,1.0,0.7137931034482758,0.0,0.0,0.0,0.0,0.0,0.0,2,687.7887349128723
2,0.8400000000000001,1.0,0.7241379310344828,0.7529411764705882,1.0,0.6037735849056604,0.0,0.0,0.0,2,821.8278479576111
3,0.7082405345211582,1.0,0.5482758620689655,0.417910447761194,1.0,0.2641509433962264,0.672367717797969,1.0,0.5064412238325282,2,686.1861159801483
1,0.6343612334801763,1.0,0.4645161290322581,0.0,0.0,0.0,0.0,0.0,0.0,20,660.4976825714111
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,20,684.1204080581665
3,0.8467966573816156,1.0,0.7342995169082126,0.5282763291567897,1.0,0.3589507593189139,0.923076923076923,1.0,0.8571428571428571,20,585.4047162532806
1,0.7612687813021703,1.0,0.6145552560646901,0.0,0.0,0.0,0.0,0.0,0.0,21,764.355414390564
2,0.7612687813021703,1.0,0.6145552560646901,0.7916666666666666,1.0,0.6551724137931034,0.0,0.0,0.0,21,566.5318067073822
3,0.7612687813021703,1.0,0.6145552560646901,0.0,0.0,0.0,0.723535457348407,1.0,0.5668276972624798,21,672.9713859558105
1,0.8800721370604149,1.0,0.785829307568438,0.0,0.0,0.0,0.0,0.0,0.0,22,487.6375370025635
2,0.723535457348407,1.0,0.5668276972624798,0.7612687813021703,1.0,0.6145552560646901,0.0,0.0,0.0,22,562.0423529148102
3,0.723535457348407,1.0,0.5668276972624798,0.4312896405919662,1.0,0.2749326145552561,0.7331634510374955,1.0,0.578735632183908,22,621.5370953083038
1,0.7529411764705882,1.0,0.6037735849056604,0.0,0.0,0.0,0.0,0.0,0.0,23,674.676191329956
2,0.7529411764705882,1.0,0.6037735849056604,0.8381665107577174,1.0,0.7214170692431562,0.0,0.0,0.0,23,472.4720923900604
3,0.7529411764705882,1.0,0.6037735849056604,0.6801275239107332,1.0,0.5152979066022544,0.7277158774373259,1.0,0.571975916803503,23,523.0832211971283
1,0.784026622296173,1.0,0.6447728516694033,0.0,0.0,0.0,0.0,0.0,0.0,24,667.077611207962
2,0.6889128094725512,1.0,0.5254515599343186,0.6694560669456068,1.0,0.5031446540880503,0.0,0.0,0.0,24,726.0309112071991
3,0.95,1.0,0.9047619047619048,0.0,0.0,0.0,0.9090909090909092,1.0,0.8333333333333334,24,621.0714712142944
1,0.9743589743589745,1.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,25,717.589920759201
2,0.9743589743589745,1.0,0.95,0.8900523560209425,1.0,0.8018867924528302,0.0,0.0,0.0,25,690.398496389389
3,0.7331634510374955,1.0,0.578735632183908,0.56,1.0,0.3888888888888889,0.9090909090909092,1.0,0.8333333333333334,25,591.9494173526764
1,0.9090909090909092,1.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,26,655.7162866592407
2,0.6909090909090909,1.0,0.5277777777777778,0.9210526315789476,1.0,0.8536585365853658,0.0,0.0,0.0,26,674.4392790794373
3,0.6909090909090909,1.0,0.5277777777777778,0.0,0.0,0.0,0.6982543640897755,1.0,0.5363984674329502,26,762.8839159011841
1,0.9735099337748344,1.0,0.9483870967741936,0.0,0.0,0.0,0.0,0.0,0.0,27,706.3779468536377
2,0.6182485579444152,1.0,0.447438330170778,0.7605832549388523,1.0,0.613662239089184,0.0,0.0,0.0,27,846.7108328342438
3,0.4723247232472324,1.0,0.3091787439613526,0.94,1.0,0.8867924528301887,0.7331634510374955,1.0,0.578735632183908,27,800.4353291988373
1,0.8400000000000001,1.0,0.7241379310344828,0.0,0.0,0.0,0.0,0.0,0.0,28,750.818687915802
2,0.8227334235453315,1.0,0.6988505747126437,0.6984993178717599,1.0,0.5366876310272537,0.0,0.0,0.0,28,810.3435444831848
3,1.0,1.0,1.0,0.0,0.0,0.0,0.8381665107577174,1.0,0.7214170692431562,28,505.8272655010224
1,0.7600570613409415,1.0,0.6129774505292223,0.0,0.0,0.0,0.0,0.0,0.0,29,684.7468438148499
2,0.9210526315789476,1.0,0.8536585365853658,0.8425720620842573,1.0,0.7279693486590039,0.0,0.0,0.0,29,737.5660994052887
3,0.6137161084529505,1.0,0.4427059364933272,0.0,0.0,0.0,0.9090909090909092,1.0,0.8333333333333334,29,680.7350540161133
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,870.4984674453735
2,0.3859111791730474,1.0,0.239089184060721,1.0,1.0,1.0,0.0,0.0,0.0,3,746.9701652526855
3,0.9090909090909092,1.0,0.8333333333333334,0.0,0.0,0.0,0.859504132231405,1.0,0.7536231884057971,3,742.41277551651
1,0.9735099337748344,1.0,0.9483870967741936,0.0,0.0,0.0,0.0,0.0,0.0,30,874.9683706760406
2,0.6641318124207858,1.0,0.4971537001897533,0.6283185840707964,1.0,0.4580645161290322,0.0,0.0,0.0,30,774.9164142608643
3,0.5070422535211268,1.0,0.3396226415094339,0.0,0.0,0.0,0.802314368370299,1.0,0.6698872785829307,30,802.4530274868011
1,0.8400000000000001,1.0,0.7241379310344828,0.0,0.0,0.0,0.0,0.0,0.0,31,768.1190102100372
2,1.0,1.0,1.0,0.6912539515279241,1.0,0.5281803542673108,0.0,0.0,0.0,31,622.746179819107
3,0.8737864077669902,1.0,0.7758620689655172,0.6912539515279241,1.0,0.5281803542673108,0.7529411764705882,1.0,0.6037735849056604,31,787.5914158821106
1,0.785154449054864,1.0,0.6462998102466793,0.0,0.0,0.0,0.0,0.0,0.0,32,700.1199126243591
2,0.398176291793313,1.0,0.2485768500948766,1.0,1.0,1.0,0.0,0.0,0.0,32,823.977365732193
3,0.4127795527156549,1.0,0.2600644122383252,0.4887983706720977,1.0,0.3234501347708894,0.5178875638841567,1.0,0.3494252873563218,32,783.0695035457611
1,0.8848920863309353,1.0,0.7935483870967742,0.0,0.0,0.0,0.0,0.0,0.0,33,820.0829310417175
2,0.0,0.0,0.0,0.3769633507853404,1.0,0.232258064516129,0.0,0.0,0.0,33,612.2148036956787
3,0.6984993178717599,1.0,0.5366876310272537,0.0,0.0,0.0,0.802314368370299,1.0,0.6698872785829307,33,619.9293487071991
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34,676.5927014350891
2,0.5935414998665599,1.0,0.422011385199241,0.7070657507360157,1.0,0.5468690702087287,0.0,0.0,0.0,34,743.0473828315735
3,0.5821917808219178,1.0,0.4106280193236715,0.7125506072874495,1.0,0.5534591194968553,0.5557312252964427,1.0,0.384783798576902,34,719.1535251140594
1,0.7600570613409415,1.0,0.6129774505292223,0.0,0.0,0.0,0.0,0.0,0.0,35,693.841325044632
2,0.7600570613409415,1.0,0.6129774505292223,0.7727272727272727,1.0,0.6296296296296297,0.0,0.0,0.0,35,573.7219793796539
3,0.4016182420007356,1.0,0.2512655315232397,0.7727272727272727,1.0,0.6296296296296297,0.6375838926174496,1.0,0.4679802955665024,35,684.9219963550568
1,0.9210526315789476,1.0,0.8536585365853658,0.0,0.0,0.0,0.0,0.0,0.0,36,812.7542803287506
2,0.5661497855493237,1.0,0.3948458352508053,0.7021943573667712,1.0,0.5410628019323671,0.0,0.0,0.0,36,827.779682636261
3,0.9210526315789476,1.0,0.8536585365853658,0.9090909090909092,1.0,0.8333333333333334,0.8425720620842573,1.0,0.7279693486590039,36,705.640655040741
1,0.8066623122142391,1.0,0.6759715380405036,0.0,0.0,0.0,0.0,0.0,0.0,37,545.9561040401459
2,0.975609756097561,1.0,0.9523809523809524,0.6960629921259842,1.0,0.533816425120773,0.0,0.0,0.0,37,707.1610653400421
3,0.975609756097561,1.0,0.9523809523809524,0.8316086547507056,1.0,0.711755233494364,0.9210526315789476,1.0,0.8536585365853658,37,511.4028842449188
1,0.7641791044776118,1.0,0.6183574879227053,0.0,0.0,0.0,0.0,0.0,0.0,38,832.7622332572937
2,0.6601941747572816,1.0,0.4927536231884058,0.8425720620842573,1.0,0.7279693486590039,0.0,0.0,0.0,38,913.3250072002412
3,0.6601941747572816,1.0,0.4927536231884058,0.0,0.0,0.0,0.4489650249821556,1.0,0.2894615738610216,38,782.3506062030792
1,0.9090909090909092,1.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,39,937.2123441696168
2,0.9090909090909092,1.0,0.8333333333333334,0.9189189189189187,1.0,0.85,0.0,0.0,0.0,39,870.394237279892
3,0.9090909090909092,1.0,0.8333333333333334,0.3584905660377358,1.0,0.2183908045977011,0.9090909090909092,1.0,0.8333333333333334,39,807.9722454547882
1,0.8676789587852495,1.0,0.7662835249042146,0.0,0.0,0.0,0.0,0.0,0.0,4,713.5313844680786
2,0.7684529828109201,1.0,0.6239737274220033,0.7600570613409415,1.0,0.6129774505292223,0.0,0.0,0.0,4,764.8944625854492
3,0.7684529828109201,1.0,0.6239737274220033,0.7600570613409415,1.0,0.6129774505292223,0.9090909090909092,1.0,0.8333333333333334,4,622.6473109722137
1,0.9090909090909092,1.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,40,560.345944404602
2,0.7339449541284404,1.0,0.5797101449275363,0.5070422535211268,1.0,0.3396226415094339,0.0,0.0,0.0,40,794.6631371974945
3,0.9090909090909092,1.0,0.8333333333333334,0.0,0.0,0.0,0.9743589743589745,1.0,0.95,40,776.3326025009155
1,0.945578231292517,1.0,0.896774193548387,0.0,0.0,0.0,0.0,0.0,0.0,41,588.3616659641266
2,0.945578231292517,1.0,0.896774193548387,0.8848920863309353,1.0,0.7935483870967742,0.0,0.0,0.0,41,639.1012923717499
3,0.7600570613409415,1.0,0.6129774505292223,0.672367717797969,1.0,0.5064412238325282,0.8355640535372849,1.0,0.7175697865353038,41,652.7636027336121
1,0.6730769230769231,1.0,0.5072463768115942,0.0,0.0,0.0,0.0,0.0,0.0,42,633.7215588092804
2,1.0,1.0,1.0,0.847682119205298,1.0,0.735632183908046,0.0,0.0,0.0,42,630.5682604312897
3,0.6477953184540012,1.0,0.4790660225442834,0.0,0.0,0.0,0.8339146766836598,1.0,0.7151403589507593,42,731.9031744003296
1,0.9735099337748344,1.0,0.9483870967741936,0.0,0.0,0.0,0.0,0.0,0.0,43,707.9081263542175
2,0.5340751043115438,1.0,0.3643263757115749,1.0,1.0,1.0,0.0,0.0,0.0,43,619.7399859428406
3,1.0,1.0,1.0,0.9090909090909092,1.0,0.8333333333333334,0.8355640535372849,1.0,0.7175697865353038,43,683.7760720252991
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44,837.8934426307678
2,1.0,1.0,1.0,0.8848920863309353,1.0,0.7935483870967742,0.0,0.0,0.0,44,685.9972672462463
3,0.802314368370299,1.0,0.6698872785829307,0.0,0.0,0.0,0.9210526315789476,1.0,0.8536585365853658,44,699.9121479988098
1,0.9696969696969696,1.0,0.9411764705882352,0.0,0.0,0.0,0.0,0.0,0.0,45,640.9744296073914
2,0.8848920863309353,1.0,0.7935483870967742,0.9735099337748344,1.0,0.9483870967741936,0.0,0.0,0.0,45,815.4173119068146
3,0.7529411764705882,1.0,0.6037735849056604,0.0,0.0,0.0,0.9090909090909092,1.0,0.8333333333333334,45,731.7568600177765
