n_samples,n_features,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
3000,25,33023.22783917896,369,X_11==0 AND X_2==16 AND X_16==1 AND X_5==1,X_12==1 AND X_14==0 AND X_15==0 AND X_16==0 AND X_19==0 AND X_5==0 AND X_7==0 AND X_9==0,0,0.0,0.0,0.0,45,651.355306148529
10000,25,28343.53595108002,1090,X_0==2 AND X_18==0 AND X_7==0 AND X_4==2,X_13==0 AND X_16==1 AND X_1==2 AND X_23==0 AND X_24==1 AND X_3==8 AND X_9==0,0,0.0,0.0,0.0,45,6549.300856113434
30000,25,39041.457421732535,3737,X_22==0 AND X_10==0 AND X_2==16 AND X_21==0,X_10==0 AND X_21==0 AND X_22==0 AND X_2==16,0,1.0,1.0,1.0,45,341.9639644622803
1000,25,28680.94880708166,114,X_5==1 AND X_4==16 AND X_1==1 AND X_24==1,X_17==1 AND X_18==1 AND X_20==1 AND X_21==0 AND X_24==0 AND X_9==0,0,0.0,0.0,0.0,46,58.56336784362793
3000,25,41352.44144504432,362,X_10==0 AND X_18==1 AND X_21==0 AND X_1==8,X_10==0 AND X_18==1 AND X_1==8 AND X_21==0,0,1.0,1.0,1.0,46,12.214059591293337
10000,25,25600.627192249973,1208,X_14==0 AND X_13==1 AND X_1==2 AND X_8==0,X_8==1,0,0.0,0.0,0.0,46,6581.891122341156
30000,25,47508.76772231451,3735,X_4==1 AND X_22==1 AND X_13==1 AND X_15==0,X_13==1 AND X_15==0 AND X_22==1 AND X_4==1,0,1.0,1.0,1.0,46,14.551389694213867
100000,25,45105.98719190081,12179,X_10==1 AND X_24==1 AND X_2==2 AND X_22==0,X_10==1 AND X_22==0 AND X_24==1 AND X_2==2,0,1.0,1.0,1.0,46,147.10026574134827
300000,25,45387.17375522178,47049,X_8==0 AND X_23==1 AND X_10==1 AND X_7==0,X_10==1 AND X_23==1 AND X_7==0 AND X_8==0,0,1.0,1.0,1.0,46,208.19381427764893
1000000,25,48021.57073647223,156400,X_16==0 AND X_23==1 AND X_8==0 AND X_7==1,X_16==0 AND X_23==1 AND X_7==1 AND X_8==0,0,1.0,1.0,1.0,46,410.7044107913971
1000,25,35713.43375629977,117,X_13==1 AND X_19==0 AND X_2==2 AND X_22==0,X_10==0 AND X_13==0 AND X_19==1 AND X_22==1 AND X_6==1 AND X_9==1,0,0.0,0.0,0.0,47,62.529698848724365
3000,25,48308.84130127967,368,X_7==0 AND X_4==4 AND X_5==0 AND X_20==0,X_20==0 AND X_4==4 AND X_5==0 AND X_7==0,0,1.0,1.0,1.0,47,2.2280046939849854
10000,25,45060.29130294434,1218,X_13==1 AND X_14==0 AND X_1==1 AND X_7==1,X_13==1 AND X_14==0 AND X_1==1 AND X_7==1,0,1.0,1.0,1.0,47,4.672606706619263
30000,25,23780.82296429451,4761,X_12==1 AND X_8==0 AND X_16==0 AND X_10==1,X_16==1,0,0.0,0.0,0.0,47,13574.666029930117
100000,25,46947.27675965759,12214,X_4==1 AND X_7==0 AND X_5==1 AND X_8==0,X_4==1 AND X_5==1 AND X_7==0 AND X_8==0,0,1.0,1.0,1.0,47,41.07847189903259
1000,25,47708.88203237064,122,X_11==0 AND X_23==1 AND X_2==8 AND X_6==1,X_11==0 AND X_23==1 AND X_2==8 AND X_6==1,0,1.0,1.0,1.0,48,1.4383082389831543
3000,25,45559.76909712036,371,X_10==1 AND X_2==16 AND X_21==1 AND X_11==1,X_10==1 AND X_11==1 AND X_21==1 AND X_2==16,0,1.0,1.0,1.0,48,2.9978103637695312
10000,25,34407.396292384015,1234,X_0==2 AND X_16==0 AND X_9==0 AND X_8==0,X_0==2 AND X_16==0 AND X_8==0 AND X_9==0,0,1.0,1.0,1.0,48,5786.797590970993
1000,25,27282.695528151547,164,X_24==0 AND X_19==0 AND X_11==1 AND X_21==0,X_11==0 AND X_19==0 AND X_1==16 AND X_22==1 AND X_9==0,0,0.0,0.0,0.0,49,77.84342551231384
3000,25,42076.90905091097,375,X_12==1 AND X_14==0 AND X_0==4 AND X_23==1,X_0==4 AND X_12==1 AND X_14==0 AND X_23==1,0,1.0,1.0,1.0,49,55.20034456253052
10000,25,48592.62781387693,1201,X_5==0 AND X_19==0 AND X_14==1 AND X_4==2,X_14==1 AND X_19==0 AND X_4==2 AND X_5==0,0,1.0,1.0,1.0,49,6.13236665725708
30000,25,45341.74975153007,4758,X_13==0 AND X_21==0 AND X_7==1 AND X_9==1,X_13==0 AND X_21==0 AND X_7==1 AND X_9==1,0,1.0,1.0,1.0,49,29.8607189655304
100000,25,40167.03416943438,12268,X_10==0 AND X_3==16 AND X_17==1 AND X_8==0,X_10==0 AND X_17==1 AND X_3==16 AND X_8==0,0,1.0,1.0,1.0,49,397.11151361465454
1000,25,30823.92440846556,122,X_7==1 AND X_13==0 AND X_18==0 AND X_1==16,X_12==1 AND X_15==1 AND X_16==1 AND X_17==1 AND X_19==1 AND X_22==0 AND X_7==0,0,0.0,0.0,0.0,5,75.17453670501709
3000,25,24321.872991408487,356,X_20==0 AND X_12==0 AND X_0==4 AND X_16==0,X_10==1 AND X_14==0 AND X_16==1 AND X_17==1 AND X_1==2 AND X_23==0 AND X_6==1,0,0.0,0.0,0.0,5,565.8825237751007
10000,25,31104.38942250978,1554,X_14==0 AND X_7==1 AND X_11==0 AND X_13==0,X_13==1 AND X_1==1 AND X_21==0 AND X_22==1 AND X_4==1 AND X_6==0 AND X_7==1,0,0.0,0.0,0.0,5,7247.353929519653
30000,25,37421.88272553652,3289,X_12==0 AND X_4==16 AND X_10==0 AND X_1==8,X_10==0 AND X_12==0 AND X_1==8 AND X_4==16,0,1.0,1.0,1.0,5,1037.2438571453094
1000,25,27858.37248619593,111,X_3==2 AND X_2==16 AND X_5==0 AND X_22==1,X_17==1 AND X_1==4 AND X_22==0 AND X_7==0 AND X_9==0,0,0.0,0.0,0.0,50,61.4253158569336
3000,25,46775.96198173389,379,X_13==0 AND X_14==1 AND X_0==8 AND X_7==1,X_0==8 AND X_13==0 AND X_14==1 AND X_7==1,0,1.0,1.0,1.0,50,65.99433064460754
10000,25,29789.488580111287,1230,X_8==1 AND X_10==1 AND X_0==2 AND X_12==1,X_10==0 AND X_11==1 AND X_15==1 AND X_2==8 AND X_6==0 AND X_8==1 AND X_9==0,0,0.0,0.0,0.0,50,6586.391549110413
30000,25,37765.674926318,4703,X_23==1 AND X_15==1 AND X_21==0 AND X_18==0,X_15==1 AND X_18==0 AND X_21==0 AND X_23==1,0,1.0,1.0,1.0,50,1208.7499177455902
100000,25,45693.668405536046,15638,X_22==1 AND X_18==0 AND X_11==0 AND X_9==0,X_11==0 AND X_18==0 AND X_22==1 AND X_9==0,0,1.0,1.0,1.0,50,63.213796615600586
1000,25,42751.27981085975,160,X_18==1 AND X_13==0 AND X_16==0 AND X_24==0,X_13==0 AND X_16==0 AND X_18==1 AND X_24==0,0,1.0,1.0,1.0,51,10.109244108200071
3000,25,46018.867753595885,474,X_17==0 AND X_5==0 AND X_19==1 AND X_8==0,X_17==0 AND X_19==1 AND X_5==0 AND X_8==0,0,1.0,1.0,1.0,51,4.479983329772949
10000,25,47518.30398841943,1561,X_20==0 AND X_10==0 AND X_11==1 AND X_12==0,X_10==0 AND X_11==1 AND X_12==0 AND X_20==0,0,1.0,1.0,1.0,51,11.081995487213137
30000,25,46683.85027605588,3713,X_8==0 AND X_24==1 AND X_20==0 AND X_0==4,X_0==4 AND X_20==0 AND X_24==1 AND X_8==0,0,1.0,1.0,1.0,51,6598.838435649872
100000,25,39505.77425524917,15548,X_5==1 AND X_9==1 AND X_6==1 AND X_24==0,X_24==0 AND X_5==1 AND X_6==1 AND X_9==1,0,1.0,1.0,1.0,51,650.8222599029541
300000,25,38200.754702037855,36782,X_11==0 AND X_2==8 AND X_16==0 AND X_6==1,X_11==0 AND X_16==0 AND X_2==8 AND X_6==1,0,1.0,1.0,1.0,51,4901.947528839111
1000,25,43179.51815938184,121,X_10==1 AND X_20==0 AND X_0==16 AND X_24==0,X_0==16 AND X_10==1 AND X_20==0 AND X_24==0,0,1.0,1.0,1.0,52,9.082761526107788
3000,25,26347.605239818266,327,X_4==8 AND X_7==0 AND X_3==16 AND X_16==0,X_0==8 AND X_11==0 AND X_17==0 AND X_20==0 AND X_22==1 AND X_7==1 AND X_8==1,0,0.0,0.0,0.0,52,637.6504390239716
10000,25,25687.064521559827,1211,X_7==0 AND X_3==2 AND X_23==1 AND X_22==0,X_23==0,0,0.0,0.0,0.0,52,6593.573696136475
30000,25,42027.07827130028,3266,X_13==1 AND X_2==4 AND X_3==2 AND X_5==1,X_13==1 AND X_2==4 AND X_3==2 AND X_5==1,0,1.0,1.0,1.0,52,51.01086401939392
100000,25,44262.803560618304,15687,X_24==0 AND X_12==1 AND X_22==1 AND X_10==1,X_10==1 AND X_12==1 AND X_22==1 AND X_24==0,0,1.0,1.0,1.0,52,104.07750344276428
1000,25,31065.11195306316,141,X_17==1 AND X_21==0 AND X_9==0 AND X_6==0,X_11==1 AND X_19==0 AND X_20==0 AND X_5==1 AND X_6==1 AND X_7==0,0,0.0,0.0,0.0,53,61.90839910507202
3000,25,25496.585954374597,315,X_0==16 AND X_2==8 AND X_24==0 AND X_22==0,X_11==0 AND X_19==1 AND X_20==0 AND X_22==1 AND X_2==16 AND X_4==16,0,0.0,0.0,0.0,53,587.2505505084991
10000,25,24597.37457309251,1224,X_17==1 AND X_4==1 AND X_6==1 AND X_7==1,X_16==0 AND X_6==0,0,0.0,0.0,0.0,53,6133.485424041748
1000,25,35766.36477411552,107,X_10==0 AND X_0==16 AND X_2==2 AND X_15==1,X_11==1 AND X_16==1 AND X_18==0 AND X_4==8,2,0.0458015267175572,0.125,0.02803738317757,54,56.63179230690002
3000,25,47849.04166510781,494,X_12==1 AND X_16==0 AND X_5==0 AND X_6==1,X_12==1 AND X_16==0 AND X_5==0 AND X_6==1,0,1.0,1.0,1.0,54,2.488358974456787
10000,25,36249.39958769575,1220,X_6==1 AND X_4==8 AND X_24==0 AND X_11==0,X_11==0 AND X_24==0 AND X_4==8 AND X_6==1,0,1.0,1.0,1.0,54,2393.3784346580505
30000,25,48289.18240648396,4627,X_16==0 AND X_6==0 AND X_18==1 AND X_7==1,X_16==0 AND X_18==1 AND X_6==0 AND X_7==1,0,1.0,1.0,1.0,54,12.155956745147703
100000,25,42516.58572133092,10358,X_1==4 AND X_22==1 AND X_2==8 AND X_4==2,X_1==4 AND X_22==1 AND X_2==8 AND X_4==2,0,1.0,1.0,1.0,54,3456.614081144333
1000,25,44674.22911327723,148,X_11==1 AND X_16==1 AND X_21==0 AND X_18==0,X_11==1 AND X_16==1 AND X_18==0 AND X_21==0,0,1.0,1.0,1.0,55,4.297608613967896
3000,25,30924.617000312093,371,X_6==1 AND X_10==1 AND X_8==0 AND X_0==4,X_14==1 AND X_19==1 AND X_2==4 AND X_5==0 AND X_6==0 AND X_8==0,0,0.0,0.0,0.0,55,600.7277884483337
10000,25,38052.63013344604,1090,X_12==1 AND X_21==0 AND X_0==16 AND X_2==4,X_0==16 AND X_12==1 AND X_21==0 AND X_2==4,0,1.0,1.0,1.0,55,1201.6889939308169
30000,25,45646.92723897532,4665,X_12==1 AND X_9==0 AND X_11==0 AND X_5==1,X_11==0 AND X_12==1 AND X_5==1 AND X_9==0,0,1.0,1.0,1.0,55,25.809585571289062
100000,25,39776.20465824615,15529,X_10==1 AND X_19==1 AND X_12==0 AND X_11==0,X_10==1 AND X_11==0 AND X_12==0 AND X_19==1,0,1.0,1.0,1.0,55,655.9830496311188
1000,25,24252.87753451762,130,X_16==1 AND X_11==0 AND X_3==4 AND X_5==1,X_16==0 AND X_19==0 AND X_20==0 AND X_4==2,0,0.0,0.0,0.0,56,70.0635073184967
3000,25,45955.681828229055,366,X_15==1 AND X_18==1 AND X_3==8 AND X_16==0,X_15==1 AND X_16==0 AND X_18==1 AND X_3==8,0,1.0,1.0,1.0,56,4.113750457763672
10000,25,43886.41956208132,1558,X_19==1 AND X_24==1 AND X_16==0 AND X_10==1,X_10==1 AND X_16==0 AND X_19==1 AND X_24==1,0,1.0,1.0,1.0,56,21.123347997665405
30000,25,37778.33333649249,3680,X_4==8 AND X_24==0 AND X_21==1 AND X_19==0,X_19==0 AND X_21==1 AND X_24==0 AND X_4==8,0,1.0,1.0,1.0,56,1025.0475778579712
100000,25,42032.39287815661,12259,X_1==16 AND X_6==1 AND X_23==1 AND X_12==0,X_12==0 AND X_1==16 AND X_23==1 AND X_6==1,0,1.0,1.0,1.0,56,6637.515639781952
1000,25,40115.70474167039,132,X_22==0 AND X_12==0 AND X_4==4 AND X_19==1,X_12==0 AND X_19==1 AND X_22==0 AND X_4==4,0,1.0,1.0,1.0,57,15.876430034637451
3000,25,31764.49308241361,455,X_7==0 AND X_18==1 AND X_17==0 AND X_8==0,X_10==1 AND X_12==0 AND X_15==1 AND X_18==0 AND X_19==1 AND X_21==0 AND X_22==1 AND X_6==0,0,0.0,0.0,0.0,57,661.1213207244873
10000,25,28723.445858490413,1089,X_4==4 AND X_1==1 AND X_15==0 AND X_18==1,X_11==0 AND X_14==0 AND X_15==1 AND X_16==1 AND X_19==1 AND X_20==0 AND X_7==1 AND X_9==1,0,0.0,0.0,0.0,57,6919.442823171616
1000,25,37680.60308737212,123,X_21==1 AND X_3==1 AND X_24==1 AND X_14==1,X_14==1 AND X_21==1 AND X_24==1 AND X_3==1,0,1.0,1.0,1.0,58,51.20081567764282
3000,25,30555.547143923075,473,X_14==1 AND X_8==1 AND X_7==0 AND X_13==1,X_17==0 AND X_18==1 AND X_23==1 AND X_24==0 AND X_4==2 AND X_9==0,1,0.0040485829959514,0.0476190476190476,0.0021141649048625,58,620.1856927871704
10000,25,31890.864089275157,1219,X_17==1 AND X_9==1 AND X_2==4 AND X_22==0,X_13==0 AND X_1==4 AND X_3==16 AND X_5==1 AND X_8==0,1,0.0047355958958168,0.0625,0.0024610336341263,58,6887.77522444725
30000,25,44591.18935426386,3263,X_7==1 AND X_11==1 AND X_4==16 AND X_1==4,X_11==1 AND X_1==4 AND X_4==16 AND X_7==1,0,1.0,1.0,1.0,58,334.98423862457275
100000,25,42070.56081276993,12206,X_17==1 AND X_3==16 AND X_20==0 AND X_24==0,X_17==1 AND X_20==0 AND X_24==0 AND X_3==16,0,1.0,1.0,1.0,58,239.40684628486636
300000,25,44767.56545844252,36743,X_23==1 AND X_19==0 AND X_4==2 AND X_12==1,X_12==1 AND X_19==0 AND X_23==1 AND X_4==2,0,1.0,1.0,1.0,58,185.8376476764679
1000,25,35778.75724342674,116,X_8==0 AND X_3==2 AND X_16==0 AND X_14==1,X_10==0 AND X_16==0 AND X_17==0 AND X_20==1 AND X_5==1 AND X_6==0 AND X_8==1,0,0.0,0.0,0.0,59,74.42417001724243
3000,25,30067.51752576262,362,X_19==0 AND X_17==0 AND X_14==0 AND X_0==16,X_11==1 AND X_14==1 AND X_15==0 AND X_16==0 AND X_21==1 AND X_23==0 AND X_6==1 AND X_8==1,0,0.0,0.0,0.0,59,675.8037917613983
10000,25,38789.88831243502,1573,X_10==1 AND X_13==1 AND X_15==1 AND X_24==0,X_10==1 AND X_13==1 AND X_15==1 AND X_24==0,0,1.0,1.0,1.0,59,274.13686776161194
30000,25,42271.11613509831,3682,X_19==1 AND X_5==0 AND X_1==8 AND X_15==0,X_15==0 AND X_19==1 AND X_1==8 AND X_5==0,0,1.0,1.0,1.0,59,505.0417330265045
1000,25,39710.69409399355,161,X_11==1 AND X_23==0 AND X_8==0 AND X_10==0,X_10==0 AND X_11==1 AND X_23==0 AND X_8==0,0,1.0,1.0,1.0,6,32.76088619232178
3000,25,25255.87980145526,310,X_0==1 AND X_6==1 AND X_1==16 AND X_4==8,X_17==1 AND X_21==1 AND X_23==1 AND X_24==0 AND X_6==0 AND X_7==1 AND X_9==1,0,0.0,0.0,0.0,6,634.5998499393463
10000,25,39059.46420115857,1081,X_1==16 AND X_22==0 AND X_18==1 AND X_3==1,X_18==1 AND X_1==16 AND X_22==0 AND X_3==1,0,1.0,1.0,1.0,6,130.56610560417175
30000,25,41050.22139064731,3638,X_17==1 AND X_4==1 AND X_19==0 AND X_15==1,X_15==1 AND X_17==1 AND X_19==0 AND X_4==1,0,1.0,1.0,1.0,6,101.58475756645204
1000,25,40409.09224327652,121,X_18==0 AND X_10==1 AND X_8==0 AND X_3==1,X_10==1 AND X_18==0 AND X_3==1 AND X_8==0,0,1.0,1.0,1.0,60,13.803390741348268
3000,25,26266.81066481053,369,X_21==0 AND X_11==1 AND X_18==0 AND X_2==1,X_15==1 AND X_17==0 AND X_18==1 AND X_19==1 AND X_23==1 AND X_5==1 AND X_6==0 AND X_8==0,0,0.0,0.0,0.0,60,598.3136699199677
10000,25,27050.782462318733,1221,X_21==1 AND X_3==16 AND X_6==0 AND X_24==0,X_6==1 AND X_9==0,0,0.0,0.0,0.0,60,6421.300462961197
1000,25,29807.41232171028,124,X_4==2 AND X_17==1 AND X_13==0 AND X_14==0,X_13==1 AND X_15==1 AND X_17==1 AND X_21==1 AND X_2==8,0,0.0,0.0,0.0,61,63.68930864334106
