config_id,workload,time,max-resident-set-size
8,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,4.45,35044
9,QF_RDL_orb08_888.smt2,12.78,44440
9,QF_UFLIA_xs_23_43.smt2,33.18,42944
9,AUFNIRA_z3.637557.smt2,9.64,1604956
9,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,14.83,34808
9,QF_BV_bench_935.smt2,1.81,124772
9,QF_AUFBV_891_sqlite3.smt2,11.15,46232
9,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,11.59,35076
9,QF_NRA_hong_9.smt2,3.2,36648
9,LRA_formula_277.smt2,4.14,33988
9,QF_UF_PEQ018_size6.smt2,9.87,38260
9,QF_BV_bench_3176.smt2,4.16,123576
9,QF_LIA_tightrhombus,2.37,45068
10,QF_RDL_orb08_888.smt2,11.55,44424
10,QF_UFLIA_xs_23_43.smt2,18.73,42936
10,QF_BV_bench_3176.smt2,3.28,123500
10,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,4.47,35044
10,LRA_formula_277.smt2,4.13,33964
10,AUFNIRA_z3.637557.smt2,5.92,1606116
10,QF_UF_PEQ018_size6.smt2,3.92,37984
10,QF_NRA_hong_9.smt2,3.19,36696
10,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,14.7,34816
10,QF_AUFBV_891_sqlite3.smt2,2.41,45412
10,QF_LIA_tightrhombus,2.26,45060
10,QF_BV_bench_935.smt2,1.29,124780
11,QF_AUFBV_891_sqlite3.smt2,2.05,46280
11,LRA_formula_277.smt2,4.13,33984
11,QF_NRA_hong_9.smt2,3.19,36708
11,QF_UF_PEQ018_size6.smt2,12.27,39844
11,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,4.46,35028
11,QF_UFLIA_xs_23_43.smt2,18.83,42940
11,QF_BV_bench_3176.smt2,387.97,2989544
11,QF_BV_bench_935.smt2,319.19,2615096
11,AUFNIRA_z3.637557.smt2,5.9,1607224
11,QF_LIA_tightrhombus,0.22,33100
11,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,14.69,34808
11,QF_RDL_orb08_888.smt2,11.52,44752
12,QF_LIA_tightrhombus,2.26,45064
12,AUFNIRA_z3.637557.smt2,5.9,1605432
12,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,14.69,34816
12,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,4.47,35044
12,QF_UF_PEQ018_size6.smt2,3.9,37980
12,QF_NRA_hong_9.smt2,3.19,36436
12,LRA_formula_277.smt2,4.13,33968
12,QF_BV_bench_935.smt2,1.29,124712
12,QF_RDL_orb08_888.smt2,11.53,44424
12,QF_UFLIA_xs_23_43.smt2,18.82,42940
12,QF_AUFBV_891_sqlite3.smt2,2.4,45408
12,QF_BV_bench_3176.smt2,3.28,123572
13,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,19.23,42076
13,QF_NRA_hong_9.smt2,5.69,40680
13,QF_UF_PEQ018_size6.smt2,939.62,1174948
13,QF_AUFBV_891_sqlite3.smt2,19.84,283580
13,LRA_formula_277.smt2,1.8,34576
13,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,15.86,306952
13,QF_UFLIA_xs_23_43.smt2,84.7,587800
13,QF_BV_bench_935.smt2,29.93,515568
13,QF_RDL_orb08_888.smt2,14.16,107800
13,AUFNIRA_z3.637557.smt2,323.05,2772780
13,QF_BV_bench_3176.smt2,40.88,666440
13,QF_LIA_tightrhombus,1.15,35580
14,QF_BV_bench_935.smt2,8.11,483956
14,QF_RDL_orb08_888.smt2,7.79,69032
14,AUFNIRA_z3.637557.smt2,15.72,2641208
14,QF_UF_PEQ018_size6.smt2,49.58,1096660
14,QF_UFLIA_xs_23_43.smt2,22.35,540140
14,QF_BV_bench_3176.smt2,26.52,564952
14,LRA_formula_277.smt2,2.67,34344
14,QF_AUFBV_891_sqlite3.smt2,55.1,68656
14,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,12.69,309488
14,QF_NRA_hong_9.smt2,5.69,39900
14,QF_LIA_tightrhombus,4.66,36032
14,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,17.46,37728
15,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,9.14,184880
15,QF_NRA_hong_9.smt2,5.76,40020
15,QF_BV_bench_935.smt2,28.48,502148
15,QF_BV_bench_3176.smt2,40.71,636508
15,QF_LIA_tightrhombus,4.72,37152
15,QF_AUFBV_891_sqlite3.smt2,49.5,999652
15,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,15.22,40940
15,QF_RDL_orb08_888.smt2,9,75572
15,AUFNIRA_z3.637557.smt2,324.7,2770560
15,QF_UFLIA_xs_23_43.smt2,36.36,604080
15,LRA_formula_277.smt2,1.78,34576
15,QF_UF_PEQ018_size6.smt2,208.35,1138876
16,QF_UFLIA_xs_23_43.smt2,36.96,604056
16,QF_BV_bench_935.smt2,27.71,502204
16,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,15.21,40940
16,AUFNIRA_z3.637557.smt2,324.04,2773492
16,QF_AUFBV_891_sqlite3.smt2,46.5,1000648
16,QF_BV_bench_3176.smt2,37.94,636444
16,QF_NRA_hong_9.smt2,5.71,39904
16,QF_LIA_tightrhombus,4.72,37152
16,QF_RDL_orb08_888.smt2,8.96,75468
16,LRA_formula_277.smt2,1.78,34572
16,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,9.13,184880
16,QF_UF_PEQ018_size6.smt2,207.96,1138768
17,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,9.19,184880
17,QF_BV_bench_3176.smt2,38,636152
17,QF_NRA_hong_9.smt2,5.69,40024
17,AUFNIRA_z3.637557.smt2,326.11,2771784
17,QF_AUFBV_891_sqlite3.smt2,47.37,999844
17,QF_BV_bench_935.smt2,27.65,502084
17,QF_LIA_tightrhombus,4.71,37156
17,QF_UFLIA_xs_23_43.smt2,36.81,604080
17,QF_UF_PEQ018_size6.smt2,208.07,1138788
17,QF_RDL_orb08_888.smt2,8.98,75468
17,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,15.21,40940
17,LRA_formula_277.smt2,1.83,34572
18,QF_UFLIA_xs_23_43.smt2,14.52,50740
18,LRA_formula_277.smt2,4.54,34008
18,QF_LIA_tightrhombus,6.08,35744
18,QF_NRA_hong_9.smt2,3.21,36728
18,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,8.9,34388
18,QF_UF_PEQ018_size6.smt2,18.95,36676
18,QF_AUFBV_891_sqlite3.smt2,108.41,1942424
18,QF_RDL_orb08_888.smt2,8.38,43072
18,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,7.95,34900
18,QF_BV_bench_935.smt2,430.16,3477356
18,AUFNIRA_z3.637557.smt2,59.73,1630776
18,QF_BV_bench_3176.smt2,836.68,3777752
19,QF_RDL_orb08_888.smt2,8.97,75480
19,QF_LIA_tightrhombus,4.71,37148
19,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,15.21,40916
19,QF_AUFBV_891_sqlite3.smt2,50.25,998972
19,LRA_formula_277.smt2,1.78,34572
19,QF_BV_bench_935.smt2,28.43,502188
19,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,9.24,184876
19,QF_BV_bench_3176.smt2,38.86,636148
19,QF_UF_PEQ018_size6.smt2,207.81,1138764
19,AUFNIRA_z3.637557.smt2,326.14,2773592
19,QF_UFLIA_xs_23_43.smt2,36.38,604268
19,QF_NRA_hong_9.smt2,5.69,39968
20,QF_RDL_orb08_888.smt2,8.97,75468
20,QF_NRA_hong_9.smt2,5.7,40020
20,QF_AUFBV_891_sqlite3.smt2,50.03,1000296
20,LRA_formula_277.smt2,1.78,34572
20,AUFNIRA_z3.637557.smt2,324.68,2771976
20,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,15.21,40936
20,QF_BV_bench_3176.smt2,38.75,636156
20,QF_LIA_tightrhombus,4.71,37152
20,QF_UFLIA_xs_23_43.smt2,36.84,604084
20,QF_UF_PEQ018_size6.smt2,208.43,1138828
20,QF_BV_bench_935.smt2,28.41,502308
20,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,9.21,184880
21,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,5.16,184780
21,QF_LIA_tightrhombus,4.63,36936
21,QF_UF_PEQ018_size6.smt2,186.92,1138812
21,QF_NRA_hong_9.smt2,5.68,39912
21,LRA_formula_277.smt2,1.76,34684
21,QF_BV_bench_935.smt2,17.3,505964
21,QF_RDL_orb08_888.smt2,7.89,75404
21,AUFNIRA_z3.637557.smt2,495.68,2699116
21,QF_AUFBV_891_sqlite3.smt2,16.72,534096
21,QF_UFLIA_xs_23_43.smt2,37.19,607024
21,QF_BV_bench_3176.smt2,31.19,635884
