sampling_strategy,sample_size,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
random_10,310,64,CUDA = 1 AND Linear1D = 1 AND TextureMemory = 1,Array2D==0 AND CUDA==1 AND Linear1D==1,2,1.0,1.0,1.0,13
random_20,620,121,CUDA = 1 AND Linear1D = 1 AND TextureMemory = 1,Array2D==0 AND CUDA==1 AND Linear1D==1,2,1.0,1.0,1.0,13
2-wise,375,79,CUDA = 1 AND Linear1D = 1 AND TextureMemory = 1,Array2D==0 AND CUDA==1 AND Linear1D==1,0,1.0,1.0,1.0,13
3-wise,2043,446,CUDA = 1 AND Linear1D = 1 AND TextureMemory = 1,Array2D==0 AND CUDA==1 AND Linear1D==1,0,1.0,1.0,1.0,13
4-wise,6770,1522,CUDA = 1 AND Linear1D = 1 AND TextureMemory = 1,Array2D==0 AND CUDA==1 AND Linear1D==1,0,1.0,1.0,1.0,13
full,13485,1872,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 4,pixelPerThread==4 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,14
random_2,62,8,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 4,Array2D==0 AND pixelPerThread==4 AND TextureMemory==1 AND bs_128x1==0,0,1.0,1.0,1.0,14
random_5,155,20,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 4,CUDA==1 AND pixelPerThread==4 AND TextureMemory==1 AND bs_1024x1==0,0,1.0,1.0,1.0,14
random_10,310,48,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 4,Array2D==0 AND pixelPerThread==4 AND TextureMemory==1 AND bs_1024x1==0,0,1.0,1.0,1.0,14
random_20,620,102,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 4,CUDA==1 AND pixelPerThread==4 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,14
2-wise,373,57,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 4,CUDA==1 AND pixelPerThread==4 AND TextureMemory==1,0,1.0,1.0,1.0,14
3-wise,2045,330,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 4,pixelPerThread==4 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,14
4-wise,6768,1152,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 4,pixelPerThread==4 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,14
full,13485,2132,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,pixelPerThread==2 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,15
random_2,62,4,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,Array2D==0 AND CUDA==0 AND pixelPerThread==2 AND LocalMemory==1,0,0.0,0.0,0.0,15
random_5,155,25,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,Array2D==0 AND pixelPerThread==2 AND TextureMemory==1 AND bs_1024x1==0,0,1.0,1.0,1.0,15
random_10,310,34,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,CUDA==1 AND pixelPerThread==2 AND TextureMemory==1 AND bs_1024x1==0,0,1.0,1.0,1.0,15
random_20,620,80,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,pixelPerThread==2 AND OpenCL==0 AND TextureMemory==1 AND bs_1024x1==0,4,1.0,1.0,1.0,15
2-wise,375,69,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,pixelPerThread==2 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,15
3-wise,2039,370,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,pixelPerThread==2 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,15
4-wise,6765,1187,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,pixelPerThread==2 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,15
full,13485,1449,CUDA = 1 AND LocalMemory = 1 AND pixelPerThread = 1,pixelPerThread==1 AND LocalMemory==1 AND OpenCL==0,0,1.0,1.0,1.0,16
random_2,62,5,CUDA = 1 AND LocalMemory = 1 AND pixelPerThread = 1,CUDA==1 AND pixelPerThread==1 AND LocalMemory==1 AND bs_128x1==0,0,1.0,1.0,1.0,16
