method,n,mean 1000,mean 3000,mean 10000,mean 30000,mean 100000,mean 300000,mean 1000000,tau,p,p_holm,significant
\textsc{BS-$\mu$},700,55.0,66.0,55.0,65.0,58.0,65.0,70.0,0.059087075730173494,0.07350181918962229,0.07350181918962229,False
\textsc{BS-kl},700,96.0,97.0,91.0,91.0,82.0,83.0,84.0,-0.14629992969918074,9.366130877461048e-06,2.8098392632383143e-05,True
\textsc{DFS-$\mu$},700,47.0,54.0,50.0,59.0,29.0,10.0,1.0,-0.32139642402438356,2.141324292153535e-22,8.56529716861414e-22,True
\textsc{RSD},700,90.0,71.0,48.0,3.0,0.0,0.0,0.0,-0.6241663316001503,1.027257107275487e-79,5.1362855363774346e-79,True
\textsc{Syflow},700,70.0,76.0,82.0,86.0,85.0,86.0,85.0,0.10902350925527989,0.0009591656874747828,0.0019183313749495657,True
