method,n,mean normal,mean bi_modal_split,mean tri_modal_split,mean uniform,mean power_law,statistic,p,kendall_w,p_holm,significant
\textsc{BS-$\mu$},15,64.2,64.73333333333333,68.2,69.13333333333334,49.333333333333336,21.55017301038061,0.00024626545491586086,0.35916955017301017,0.0007915392109235196,True
\textsc{BS-kl},15,77.4,41.8,29.133333333333333,50.86666666666667,34.4,41.60000000000003,2.0189765280837422e-08,0.6933333333333338,1.009488264041871e-07,True
\textsc{DFS-$\mu$},15,63.93333333333333,65.46666666666667,68.06666666666666,69.33333333333333,49.53333333333333,22.027777777777818,0.0001978848027308799,0.3671296296296303,0.0007915392109235196,True
\textsc{RSD},15,44.333333333333336,48.06666666666667,35.266666666666666,46.46666666666667,24.8,12.013793103448286,0.017248990378395872,0.20022988505747144,0.017248990378395872,True
\textsc{Syflow},15,84.13333333333334,78.26666666666667,72.86666666666666,82.13333333333334,74.73333333333333,15.172932330827114,0.004355660987856205,0.25288220551378526,0.00871132197571241,True
