method,n,direction,mean 1,mean 2,mean 3,mean 4,mean 5,mean 6,mean 7,median_tau,statistic,p,p_holm,significant
\textsc{BS-$\mu$},16,decreasing,70.21428571428571,64.0625,60.4,60.0,63.333333333333336,60.666666666666664,60.333333333333336,-0.3333333333333334,8.0,0.0010322498393352886,0.0041289993573411544,True
\textsc{BS-kl},16,decreasing,100.0,97.9375,54.46666666666667,24.8,21.666666666666668,16.0,21.666666666666668,-0.9128709291752769,0.0,0.00021200370385586579,0.001060018519279329,True
\textsc{DFS-$\mu$},16,decreasing,68.5,62.0625,57.733333333333334,55.06666666666667,57.833333333333336,52.833333333333336,60.333333333333336,-0.3666666666666667,10.5,0.001579418610465956,0.0047382558313978675,True
\textsc{RSD},16,decreasing,56.642857142857146,60.6875,51.8,37.8,51.166666666666664,44.0,56.333333333333336,-0.2845177968644247,23.0,0.01061871480879332,0.02123742961758664,True
\textsc{Syflow},16,decreasing,80.71428571428571,81.3125,81.46666666666667,77.6,70.66666666666667,64.5,72.33333333333333,-0.535766040657345,32.0,0.03690085046522522,0.03690085046522522,True
