method,n,mean 1000,mean 3000,mean 10000,mean 30000,mean 100000,mean 300000,mean 1000000,tau,p,p_holm,significant
\textsc{BS-$\mu$},700,1.4442787432670594,1.7102625226974488,2.3647175073623656,4.529064626693725,11.85921751499176,38.45330320596695,127.08992012262344,0.8741314582334262,3.0320497186380027e-230,1.5160248593190013e-229,True
\textsc{BS-kl},700,1.1055089354515075,1.2308237433433533,1.6023667192459106,2.3842197704315184,5.319131469726562,17.71085935354233,57.98254609823227,0.8678931453646501,5.323790447518875e-227,2.12951617900755e-226,True
\textsc{DFS-$\mu$},700,43.20464423894882,359.6115821623802,3799.7590210604667,6975.859366307259,10647.880433940887,13229.592732181549,14260.107044107914,0.6374888612850802,1.2200871025033526e-109,2.440174205006705e-109,True
\textsc{RSD},700,34.66790739059448,88.0600395655632,373.6977073574066,2933.828129849434,13996.516714212894,14400.0,14400.0,0.8813425135402101,8.862738989634024e-209,2.658821696890207e-208,True
\textsc{Syflow},700,133.42302268981933,132.9255890774727,133.41664305210114,134.8901558685303,131.7721404027939,176.83725581169128,360.53650126934053,0.4735117705657644,6.029972140127035e-69,6.029972140127035e-69,True
