sampling_strategy,sample_size,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
random_20,460,90,parallel = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,parallel >= 1.0  AND  polly_opt_simplify_deps >= 1.0,0.0,1.0,1.0,1.0,12
2-wise,55,0,parallel = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,,,0.0,0.0,0.0,12
3-wise,252,41,parallel = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,parallel >= 1.0  AND  polly_opt_simplify_deps >= 1.0,0.0,1.0,1.0,1.0,12
4-wise,945,160,parallel = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,parallel >= 1.0  AND  polly_opt_simplify_deps >= 1.0,0.0,1.0,1.0,1.0,12
full,60000,10000,max = 1 AND polly_parallel = 1 AND value_based = 1,0.0 <= memory_based < 1.0  AND  0.0 <= min < 1.0  AND  polly_parallel >= 0.5  AND  polly_opt_simplify_deps >= 1.0,0.0,0.6666666666666666,1.0,0.5,13
random_2,46,11,max = 1 AND polly_parallel = 1 AND value_based = 1,0.0 <= min < 1.0  AND  polly_parallel >= 0.5  AND  0.0 <= memory_based < 1.0,1.0,1.0,1.0,1.0,13
random_5,115,25,max = 1 AND polly_parallel = 1 AND value_based = 1,0.0 <= min < 1.0  AND  polly_parallel >= 1.0  AND  0.0 <= memory_based < 1.0,1.0,1.0,1.0,1.0,13
random_10,230,38,max = 1 AND polly_parallel = 1 AND value_based = 1,0.0 <= memory_based < 1.0  AND  polly_parallel >= 1.0  AND  0.0 <= min < 1.0,1.0,1.0,1.0,1.0,13
random_20,460,80,max = 1 AND polly_parallel = 1 AND value_based = 1,0.0 <= memory_based < 1.0  AND  0.0 <= min < 1.0  AND  polly_parallel >= 1.0,0.0,1.0,1.0,1.0,13
2-wise,48,10,max = 1 AND polly_parallel = 1 AND value_based = 1,0.0 <= memory_based < 1.0  AND  0.0 <= min < 0.5  AND  polly_parallel >= 1.0,1.0,1.0,1.0,1.0,13
3-wise,256,35,max = 1 AND polly_parallel = 1 AND value_based = 1,0.0 <= memory_based < 1.0  AND  0.0 <= min < 1.0  AND  polly_parallel >= 1.0,0.0,1.0,1.0,1.0,13
4-wise,986,167,max = 1 AND polly_parallel = 1 AND value_based = 1,0.0 <= min < 1.0  AND  polly_parallel >= 1.0  AND  0.0 <= memory_based < 1.0,0.0,1.0,1.0,1.0,13
full,60000,7500,max = 1 AND polly_no_tiling = 1 AND value_based = 1,0.0 <= memory_based < 1.0  AND  0.0 <= min < 1.0  AND  polly_no_tiling >= 1.0  AND  0.0 <= pollyoptmaxconstantterm_1000 < 1.0,1.0,0.888888888888889,1.0,0.8,14
random_2,46,0,max = 1 AND polly_no_tiling = 1 AND value_based = 1,,,0.0,0.0,0.0,14
random_5,115,16,max = 1 AND polly_no_tiling = 1 AND value_based = 1,0.0 <= memory_based < 0.5  AND  0.0 <= min < 1.0  AND  polly_no_tiling >= 1.0,1.0,1.0,1.0,1.0,14
random_10,230,30,max = 1 AND polly_no_tiling = 1 AND value_based = 1,0.0 <= memory_based < 1.0  AND  0.0 <= min < 1.0  AND  polly_no_tiling >= 1.0,0.0,1.0,1.0,1.0,14
random_20,460,50,max = 1 AND polly_no_tiling = 1 AND value_based = 1,0.0 <= min < 1.0  AND  polly_no_tiling >= 1.0  AND  0.0 <= memory_based < 1.0,0.0,1.0,1.0,1.0,14
2-wise,53,7,max = 1 AND polly_no_tiling = 1 AND value_based = 1,0.0 <= max < 1.0  AND  pollyrtcmaxparameters >= 4.0,0.0,0.0,0.0,0.0,14
3-wise,237,29,max = 1 AND polly_no_tiling = 1 AND value_based = 1,0.0 <= memory_based < 1.0  AND  0.0 <= min < 1.0  AND  polly_no_tiling >= 1.0,0.0,1.0,1.0,1.0,14
4-wise,956,124,max = 1 AND polly_no_tiling = 1 AND value_based = 1,0.0 <= min < 1.0  AND  polly_no_tiling >= 1.0  AND  0.0 <= memory_based < 1.0,0.0,1.0,1.0,1.0,14
full,60000,7500,memory_based = 1 AND min = 1 AND none = 1,0.0 <= max < 1.0  AND  0.0 <= value_based < 1.0  AND  0.0 <= polly < 1.0  AND  0.0 <= parallel_force < 0.5,0.0,0.8,1.0,0.6666666666666666,15
random_5,115,10,memory_based = 1 AND min = 1 AND none = 1,0.0 <= value_based < 1.0  AND  0.0 <= polly < 0.5  AND  0.0 <= max < 1.0,1.0,1.0,1.0,1.0,15
random_10,230,25,memory_based = 1 AND min = 1 AND none = 1,0.0 <= polly < 1.0  AND  0.0 <= value_based < 1.0  AND  0.0 <= max < 1.0  AND  0.0 <= parallel_force < 1.0,0.0,0.8372093023255813,1.0,0.72,15
random_20,460,49,memory_based = 1 AND min = 1 AND none = 1,0.0 <= max < 1.0  AND  0.0 <= polly < 1.0  AND  0.0 <= value_based < 1.0,0.0,1.0,1.0,1.0,15
2-wise,56,9,memory_based = 1 AND min = 1 AND none = 1,0.0 <= min < 0.5  AND  0.0 <= pollyoptmaxcoefficient_100 < 1.0  AND  0.0 <= pollyoptmaxconstantterm_1000 < 1.0,0.0,0.0,0.0,0.0,15
3-wise,265,44,memory_based = 1 AND min = 1 AND none = 1,0.0 <= max < 1.0  AND  0.0 <= value_based < 1.0  AND  0.0 <= polly < 1.0,0.0,1.0,1.0,1.0,15
4-wise,967,125,memory_based = 1 AND min = 1 AND none = 1,0.0 <= max < 1.0  AND  0.0 <= polly < 1.0  AND  0.0 <= value_based < 1.0  AND  0.0 <= pollyoptmaxconstantterm_10000 < 1.0,0.0,0.8839285714285714,1.0,0.792,15
full,60000,10000,polly = 1 AND polly_no_tiling = 1 AND polly_parallel = 1,polly_no_tiling >= 1.0  AND  polly_parallel >= 1.0  AND  0.0 <= none < 1.0  AND  0.0 <= min < 1.0,0.0,0.6666666666666666,1.0,0.5,16
random_2,46,9,polly = 1 AND polly_no_tiling = 1 AND polly_parallel = 1,parallel_force >= 1.0  AND  0.0 <= pollyoptmaxconstantterm_10 < 1.0,1.0,0.4761904761904762,0.4166666666666667,0.5555555555555556,16
random_5,115,17,polly = 1 AND polly_no_tiling = 1 AND polly_parallel = 1,polly_no_tiling >= 1.0  AND  polly_parallel >= 1.0  AND  0.0 <= none < 1.0,1.0,1.0,1.0,1.0,16
random_10,230,39,polly = 1 AND polly_no_tiling = 1 AND polly_parallel = 1,polly_no_tiling >= 1.0  AND  polly_parallel >= 1.0  AND  0.0 <= none < 1.0,0.0,1.0,1.0,1.0,16
random_20,460,97,polly = 1 AND polly_no_tiling = 1 AND polly_parallel = 1,0.0 <= none < 1.0  AND  polly_no_tiling >= 1.0  AND  polly_parallel >= 1.0,0.0,1.0,1.0,1.0,16
2-wise,48,10,polly = 1 AND polly_no_tiling = 1 AND polly_parallel = 1,0.0 <= none < 1.0  AND  polly_no_tiling >= 1.0,1.0,0.9090909090909092,0.8333333333333334,1.0,16
3-wise,250,44,polly = 1 AND polly_no_tiling = 1 AND polly_parallel = 1,0.0 <= none < 1.0  AND  polly_no_tiling >= 1.0  AND  polly_parallel >= 1.0,0.0,1.0,1.0,1.0,16
4-wise,960,165,polly = 1 AND polly_no_tiling = 1 AND polly_parallel = 1,polly_no_tiling >= 1.0  AND  polly_parallel >= 1.0  AND  0.0 <= none < 1.0,0.0,1.0,1.0,1.0,16
full,60000,10000,polly_no_tiling = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,polly_no_tiling >= 1.0  AND  polly_opt_simplify_deps >= 1.0  AND  parallel_force >= 0.5  AND  0.0 <= pollyoptmaxconstantterm_10000 < 1.0,1.0,0.5714285714285715,1.0,0.4,17
random_2,46,11,polly_no_tiling = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,polly_no_tiling >= 1.0  AND  polly_parallel >= 0.5  AND  polly_opt_simplify_deps >= 1.0,1.0,1.0,1.0,1.0,17
random_5,115,14,polly_no_tiling = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,parallel >= 1.0  AND  0.0 <= polly_opt_simplify_deps < 1.0,0.0,0.0,0.0,0.0,17
random_10,230,32,polly_no_tiling = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,polly_no_tiling >= 1.0  AND  polly_opt_simplify_deps >= 1.0  AND  polly_parallel >= 1.0,0.0,1.0,1.0,1.0,17
