sampling_strategy,sample_size,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
random_5,80,16,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_VERIFY = 1,HAVE_SEQUENCE AND NOT HAVE_HASH AND HAVE_VERIFY AND DIAGNOSTIC,2,0.8571428571428571,1.0,0.75,12
random_10,160,14,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_VERIFY = 1,DIAGNOSTIC AND HAVE_SEQUENCE AND HAVE_VERIFY,0,1.0,1.0,1.0,12
random_20,320,35,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_VERIFY = 1,DIAGNOSTIC AND NOT HAVE_REPLICATION AND HAVE_SEQUENCE AND HAVE_VERIFY,0,0.7499999999999999,1.0,0.6,12
2-wise,60,6,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_VERIFY = 1,PAGESIZE <= 2.5 AND NOT HAVE_REPLICATION AND NOT HAVE_STATISTICS.1 AND NOT HAVE_SEQUENCE.1,0,0.0,0.0,0.0,12
3-wise,199,13,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_VERIFY = 1,HAVE_STATISTICS.1 AND PAGESIZE <= 24.0 AND CACHESIZE > 48.0,0,0.0,0.0,0.0,12
4-wise,445,29,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_VERIFY = 1,HAVE_VERIFY AND HAVE_SEQUENCE AND DIAGNOSTIC,0,1.0,1.0,1.0,12
full,2560,320,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_VERIFY AND HAVE_REPLICATION AND HAVE_CRYPTO,0,1.0,1.0,1.0,13
random_2,32,4,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,NOT HAVE_STATISTICS AND HAVE_REPLICATION AND CACHESIZE > 48.0,4,0.6666666666666666,1.0,0.5,13
random_5,80,9,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_VERIFY AND NOT HAVE_SEQUENCE AND PAGESIZE > 12.0 AND NOT HAVE_STATISTICS,4,0.1666666666666666,0.3333333333333333,0.1111111111111111,13
random_10,160,11,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,NOT HAVE_STATISTICS AND NOT DIAGNOSTIC AND PAGESIZE <= 2.5 AND NOT HAVE_HASH.1,0,0.0,0.0,0.0,13
