n_samples,n_features,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1000000,25,40127.19174343997,109058,X_1==4 AND X_3==2 AND X_9==0 AND X_7==1,X_1 = 4.00 AND X_3 = 2.00 AND X_7 AND NOT X_9,0,0.960749161993948,0.924463206435589,1.0,23,359.97265815734863
1000,25,26190.707335368643,155,X_21==1 AND X_12==0 AND X_6==0 AND X_22==0,NOT X_6 AND X_21 AND NOT X_22,0,0.8587257617728532,0.7524271844660194,1.0,24,136.17991495132446
3000,25,34746.4544280022,481,X_17==0 AND X_15==0 AND X_11==0 AND X_22==0,NOT X_11 AND NOT X_15 AND NOT X_17 AND NOT X_22,0,1.0,1.0,1.0,24,133.76034140586853
10000,25,25991.94838903985,1211,X_0==1 AND X_11==0 AND X_20==1 AND X_14==1,X_0 = 1.00 AND NOT X_11 AND X_14 AND X_20,1,1.0,1.0,1.0,24,135.47195553779602
30000,25,45369.722527478654,4761,X_16==0 AND X_13==0 AND X_20==1 AND X_19==1,NOT X_13 AND NOT X_16 AND X_19 AND X_20,0,1.0,1.0,1.0,24,137.23783469200134
100000,25,33543.28313131403,15552,X_17==1 AND X_5==0 AND X_9==0 AND X_12==1,NOT X_5 AND NOT X_9 AND X_12 AND X_17,0,1.0,1.0,1.0,24,132.80505633354187
300000,25,39074.179908292215,36754,X_3==16 AND X_22==0 AND X_19==1 AND X_6==0,X_3 = 16.00 AND NOT X_6 AND X_19 AND NOT X_22,0,1.0,1.0,1.0,24,179.9191873073578
1000000,25,37930.14638353887,122422,X_22==1 AND X_12==0 AND X_17==0 AND X_1==4,X_1 = 4.00 AND NOT X_12 AND NOT X_17 AND X_22,0,1.0,1.0,1.0,24,361.8876097202301
1000,25,42131.80510310776,158,X_11==0 AND X_10==1 AND X_20==1 AND X_9==0,NOT X_9 AND X_10 AND NOT X_11 AND X_20,0,1.0,1.0,1.0,25,134.98901391029358
3000,25,42135.242931166256,374,X_3==4 AND X_16==1 AND X_8==1 AND X_5==0,X_3 = 4.00 AND NOT X_5 AND X_8 AND X_16,0,1.0,1.0,1.0,25,134.5202136039734
